time,size
1620151355.708142,100
1620151355.717308,100
1620151355.738049,54
1620151364.051579,77
1620151364.084634,77
1620151364.086403,66
1620151369.508339,100
1620151369.524769,54
1620151369.524806,100
1620151369.565322,54
1620151369.810390,99
1620151369.827512,97
1620151369.829271,66
1620151381.821465,77
1620151381.845787,66
1620151385.708704,100
1620151385.735746,54
1620151385.786773,100
1620151385.855068,54
1620151394.998272,77
1620151395.035251,77
1620151395.037554,66
1620151408.615657,66
1620151408.663839,66
1620151415.709392,100
1620151415.713436,54
1620151415.715723,100
1620151415.732866,54
1620151425.989989,77
1620151426.024991,77
1620151426.030447,66
1620151445.709990,100
1620151445.718001,100
1620151445.737168,54
1620151456.951489,77
1620151456.990186,77
1620151456.991770,66
1620151460.870618,99
1620151460.890286,97
1620151460.898397,66
1620151468.666557,66
1620151468.674038,66
1620151468.889770,98
1620151468.906508,66
1620151469.150787,66
1620151469.158157,54
1620151469.638580,66
1620151469.648299,54
1620151469.889381,98
1620151470.615305,66
1620151470.618233,54
1620151470.888498,98
1620151471.891987,98
1620151472.576118,66
1620151472.578208,54
1620151472.891322,98
1620151473.911139,98
1620151474.894481,98
1620151475.710589,100
1620151475.717229,100
1620151475.735980,54
1620151475.925119,98
1620151476.482759,66
1620151476.488207,54
1620151476.900079,98
1620151477.899828,98
1620151478.936969,89
1620151478.954809,153
1620151478.974192,74
1620151478.985534,74
1620151478.997913,66
1620151479.002984,256
1620151479.017946,66
1620151479.018103,530
1620151479.018193,99
1620151479.033922,66
1620151479.033922,66
1620151484.315364,66
1620151484.318489,54
1620151487.897987,77
1620151487.937143,77
1620151487.940576,66
1620151499.994514,66
1620151499.998486,54
1620151501.831062,77
1620151501.835073,66
1620151505.710239,100
1620151505.724812,100
1620151505.744795,54
1620151518.857061,77
1620151518.891459,77
1620151518.893562,66
1620151531.267575,66
1620151531.268811,54
1620151535.710811,100
1620151535.737632,100
1620151535.757165,54
1620151549.831985,77
1620151549.872166,77
1620151549.873902,66
1620151551.883473,99
