word,start_time,end_time
53842b7121,1620151363.0884964,1620151366.3287928
63ef6409a1,1620151367.6494622,1620151375.5215387
8e4a1876d4,1620151376.8906167,1620151386.8214347
0e82879390,1620151388.1475976,1620151390.1066535
7ea549c0e3,1620151391.4288402,1620151394.941761
384e8e720a,1620151396.306423,1620151406.2358646
4a8c740c4c,1620151407.5866141,1620151416.4158413
169496ff87,1620151417.7610602,1620151426.3360872
24bcd591e9,1620151427.6691515,1620151437.5020783
c641f4e9d1,1620151438.8295443,1620151442.794087
eefa87ed20,1620151444.1002753,1620151447.5632813
bf3c9a2cd6,1620151448.9283462,1620151457.656701
ea4fcadd0d,1620151458.9794607,1620151461.289335
95d32f7a9c,1620151462.6205401,1620151465.0808332
8f80af0bd8,1620151466.4104578,1620151469.9248447
7bd4ee30aa,1620151471.273294,1620151477.89657
7bacf6c13a,1620151479.2172139,1620151480.2249646
0991a1ed99,1620151481.5789232,1620151490.1053255
f820f627ac,1620151491.425196,1620151496.6947525
11f6b13abe,1620151498.0447783,1620151504.767244
1f5e9b097d,1620151506.0970302,1620151507.2561142
c4621d864f,1620151508.596344,1620151516.821419
16431c7208,1620151518.165359,1620151523.8390012
4e65327c7f,1620151525.1869757,1620151532.9141088
d8c4e954f1,1620151534.2724252,1620151542.645877
c21e8ea90e,1620151543.963818,1620151548.179385
bdc7bb455a,1620151549.5327315,1620151557.4580023
d15423ceab,1620151558.7743506,1620151559.7833424
8dfcda6119,1620151561.1334758,1620151569.310195
1345518a83,1620151570.6742811,1620151580.604645
1998972872,1620151581.9638777,1620151589.9377964
e60bcbad61,1620151591.2905765,1620151598.6134038
000d484b72,1620151599.968699,1620151606.2403853
fab732936e,1620151607.6085298,1620151616.1318989
089af89361,1620151617.4703813,1620151627.1508527
91d665405f,1620151628.5058086,1620151637.2341726
52ad3aad1a,1620151638.563736,1620151641.9275053
a60bcb2137,1620151643.236545,1620151646.3523953
7036506a76,1620151647.7102334,1620151656.236361
88556be464,1620151657.5672445,1620151664.4908247
adcbc4155f,1620151665.8250945,1620151674.3519435
bfb22bbd41,1620151675.6924946,1620151679.9072819
fc63c5ba77,1620151681.2592459,1620151689.4855995
7af689949a,1620151690.821216,1620151696.0900183
95627f0fbf,1620151697.439492,1620151705.9686372
495223b679,1620151707.313246,1620151716.8915882
358d045544,1620151718.2592418,1620151728.1373844
b4c04c9cee,1620151729.4732502,1620151732.8852928
7746aac7bb,1620151734.2222328,1620151737.9361663
ab9a724a0d,1620151739.2834153,1620151746.956478
0a7f85c202,1620151748.2692778,1620151749.930247
03dc50395d,1620151751.2243848,1620151752.3334568
398257a03c,1620151753.6749876,1620151761.9018593
407a4c1e16,1620151763.2333918,1620151768.4045112
f50c563171,1620151769.7611918,1620151777.9870443
279b5055ae,1620151779.3263278,1620151782.2924404
421441f7b6,1620151783.6240804,1620151787.8907108
a30f1ea394,1620151789.2437317,1620151796.8659062
2ad1ae29ac,1620151798.200848,1620151807.9298072
dfa56f4689,1620151809.2605684,1620151813.827632
574ef9a468,1620151815.1655066,1620151823.6414149
d494146b8a,1620151824.9815626,1620151835.3100712
32e4cf004a,1620151836.6272697,1620151840.04184
9f05ebb2e9,1620151841.3903322,1620151850.0181222
7bb0b866b2,1620151851.284501,1620151852.692112
d83b749860,1620151854.0353935,1620151863.0125089
c2ecb25e41,1620151864.318437,1620151867.4825156
65863dfa99,1620151868.8403108,1620151876.5135744
6ff5224e7b,1620151877.822334,1620151880.1319995
b8bdff5348,1620151881.4615197,1620151884.5230753
b248ef41a8,1620151885.8892565,1620151895.069024
f33a109020,1620151896.4072127,1620151904.4850664
1042e301d6,1620151905.8131273,1620151909.1270614
39df3f341c,1620151910.4478838,1620151913.7122476
a722c79296,1620151915.0523431,1620151924.4819074
b795f7d545,1620151925.812631,1620151928.0224013
fb6ab65937,1620151929.3559167,1620151933.5231879
c12b17cfeb,1620151934.8530748,1620151936.5634782
ef0b11c9b9,1620151937.8939042,1620151946.2696688
57a0e3bc4f,1620151947.6286645,1620151955.6557412
01683760c4,1620151956.9792254,1620151959.0406342
29d7c13c35,1620151960.397347,1620151968.8278818
cfe956b843,1620151970.155297,1620151975.7253923
12c22231b5,1620151977.065178,1620151984.9382782
fa3dd6f868,1620151986.2738433,1620151995.801637
5fe49cd30e,1620151997.125824,1620152003.6972864
4dbef65edf,1620152005.0252233,1620152009.0913787
7e7a327e06,1620152010.412633,1620152012.6224275
f9be6bdf04,1620152013.9545245,1620152019.2723925
dc86fed661,1620152020.615885,1620152028.9443705
b9a69f58ae,1620152030.2673388,1620152031.6260967
662a929f74,1620152032.9621656,1620152041.845178
41fe3ff2b6,1620152043.1672873,1620152046.1284797
de9c046444,1620152047.4270637,1620152049.6885662
f729d26baa,1620152051.021088,1620152059.8962002
f913332ba5,1620152061.2456691,1620152070.423692
ae285ce59c,1620152071.744344,1620152073.4043832
cef7d0494c,1620152074.7517126,1620152083.1278164
a617a403cf,1620152084.428627,1620152086.9906926
cae0cdea13,1620152088.2850997,1620152090.0458665
c342726830,1620152091.367869,1620152099.6920388
4cea5675c3,1620152101.0367544,1620152110.1674483
ed7bc74deb,1620152111.4798017,1620152116.7453175
52745d6afd,1620152118.0947673,1620152127.7240822
e74e744880,1620152129.085445,1620152139.0657957
ca0b8d5612,1620152140.4086072,1620152147.73168
73ea912633,1620152149.0476058,1620152151.660029
a3e7220de4,1620152153.011841,1620152162.1892333
c55c97a6d6,1620152163.5235512,1620152168.8935068
e9b3534c9e,1620152170.241487,1620152179.2170892
ac352626f2,1620152180.5302513,1620152182.2400904
b34ba87bd2,1620152183.5903375,1620152192.1665788
f1ecb2bf6e,1620152193.4965196,1620152202.172932
96c34bcdde,1620152203.4946826,1620152205.9051828
a251aa0736,1620152207.240204,1620152212.3600817
df4c657679,1620152213.7155213,1620152222.7924316
1ccc41a58b,1620152224.1076124,1620152225.264863
0fb3e1fa57,1620152226.610563,1620152235.5884266
8705fd362a,1620152236.9438534,1620152246.2721097
16a96060f9,1620152247.6228087,1620152255.4462268
e3229ff952,1620152256.7979085,1620152265.526463
9592f705f5,1620152266.8665802,1620152272.7885566
6a29d2dde9,1620152274.1426666,1620152282.4163525
2cdcb97fe2,1620152283.7623148,1620152292.7897239
6c15e2b0fe,1620152294.140687,1620152302.5140288
3f4bcf075b,1620152303.851159,1620152309.973193
af52c6226c,1620152311.307196,1620152319.0295558
c1c613df75,1620152320.3436751,1620152326.7652586
87247e4631,1620152328.097041,1620152331.4615002
2f2024cc5d,1620152332.8232172,1620152342.3519864
a2d9df43d9,1620152343.6966,1620152351.6730766
458a448dcb,1620152353.0023112,1620152358.774576
9df8ceb74f,1620152360.0639784,1620152361.9232311
f528c0bdfa,1620152363.2508824,1620152366.46271
066ea9efbb,1620152367.8177588,1620152377.0420403
71959f4e31,1620152378.3732324,1620152383.2914665
ea312e8027,1620152384.6288164,1620152390.5973794
465ac6a948,1620152391.924708,1620152393.3360481
dbae2f3465,1620152394.664253,1620152403.6901584
8f0ed31bb3,1620152405.0350804,1620152411.7575648
ea438f1e8a,1620152413.0853422,1620152420.8115954
88b0340b5f,1620152422.13697,1620152430.6129723
70c61ef75a,1620152431.9585505,1620152440.484447
64229bc41e,1620152441.834291,1620152450.4069614
