time,size
1619888246.800553,77
1619888246.833597,77
1619888246.835391,66
1619888249.515750,100
1619888249.530860,54
1619888249.531009,100
1619888249.630594,54
1619888251.459239,99
1619888251.476373,97
1619888251.480489,66
1619888258.356518,100
1619888258.366351,54
1619888258.366351,100
1619888258.426541,54
1619888277.834680,77
1619888277.869601,77
1619888277.878021,66
1619888283.182875,66
1619888283.189609,66
1619888283.465122,98
1619888284.455211,98
1619888285.457039,98
1619888286.459159,98
1619888287.459919,98
1619888288.357066,100
1619888288.362481,100
1619888288.376149,54
1619888288.463101,98
1619888289.484807,98
1619888290.465616,98
1619888291.469316,98
1619888292.477462,98
1619888293.511862,89
1619888293.543856,153
1619888293.570801,74
1619888293.580809,74
1619888293.584476,66
1619888293.586679,256
1619888293.596286,66
1619888293.596326,530
1619888293.596344,99
1619888293.602906,66
1619888293.602906,66
1619888308.785575,77
1619888308.823809,77
1619888308.825585,66
1619888315.290334,77
1619888315.292012,66
1619888318.356783,100
1619888318.391016,100
1619888318.404106,54
1619888339.805831,77
1619888339.840804,77
1619888339.868060,66
1619888342.535714,99
1619888342.555486,97
1619888342.568353,66
1619888348.357387,100
1619888348.363271,100
1619888348.379233,54
1619888370.772067,77
1619888370.808729,77
1619888370.810733,66
1619888378.358010,100
1619888378.367435,100
1619888378.386232,54
1619888401.787246,77
1619888401.822022,77
1619888401.826582,66
1619888408.358980,100
1619888408.395886,100
1619888408.413134,54
1619888423.476158,79
1619888423.493934,174
1619888423.506088,74
1619888423.516190,74
1619888423.521586,66
1619888423.550410,243
1619888423.561809,66
1619888423.561953,1494
1619888423.562047,1494
1619888423.562127,1494
1619888423.564422,1091
1619888423.582573,66
1619888423.582573,66
1619888423.582573,66
1619888423.611334,66
1619888423.733601,192
1619888423.742421,66
1619888423.742466,236
1619888423.742482,135
1619888423.796551,205
1619888423.796551,66
1619888423.796551,66
1619888423.809760,66
1619888423.809910,104
1619888423.813361,66
1619888423.907668,104
1619888423.915179,66
1619888423.946067,674
1619888423.952531,66
1619888424.074506,1091
1619888424.074677,104
1619888424.098161,66
1619888424.098161,66
1619888432.794670,77
1619888432.832636,77
1619888432.834289,66
1619888433.575884,99
1619888433.591378,97
1619888433.606483,66
1619888435.306280,77
1619888435.308320,66
1619888438.359186,100
1619888438.389350,100
1619888438.407422,54
1619888463.745910,77
1619888463.778699,77
1619888463.808928,66
1619888468.358807,100
1619888468.377419,100
1619888468.389759,54
1619888494.760128,77
1619888494.798491,77
1619888494.800540,66
1619888498.359603,100
1619888498.366045,100
1619888498.384882,54
1619888524.584387,99
1619888524.605461,97
1619888524.614163,66
1619888525.744813,77
1619888525.781882,77
1619888525.784662,66
1619888528.360258,100
1619888528.369972,100
1619888528.382044,54
1619888533.600309,66
1619888533.647288,66
1619888546.904878,336
1619888546.920401,54
1619888546.940444,190
1619888546.940444,1514
1619888546.940444,1514
1619888546.940444,1514
1619888546.940444,1514
1619888546.940444,156
1619888546.940444,134
1619888546.940444,197
1619888546.943376,1514
1619888546.943376,456
1619888546.947829,134
1619888546.957687,54
1619888546.957724,54
1619888546.957739,54
1619888546.958585,54
1619888546.958609,54
1619888546.958624,54
1619888546.958636,54
1619888546.958651,54
1619888546.964116,180
1619888546.964954,54
1619888546.979503,54
1619888547.095495,79
1619888547.144517,127
1619888547.168025,74
1619888547.171896,336
1619888547.172904,190
1619888547.176168,1514
1619888547.176168,1514
1619888547.176168,1514
1619888547.176331,1514
1619888547.176331,118
1619888547.179551,136
1619888547.182600,92
1619888547.187775,54
1619888547.187880,66
1619888547.187921,54
1619888547.190994,54
1619888547.194976,54
1619888547.195110,54
1619888547.202266,54
1619888547.208587,272
1619888547.210607,54
1619888547.224315,54
1619888547.226196,1514
1619888547.226346,1514
1619888547.226436,1514
1619888547.226518,1171
1619888547.237793,198
1619888547.237937,92
1619888547.240979,54
1619888547.240979,54
1619888547.240979,54
1619888547.241166,54
1619888547.241166,54
1619888547.357811,1514
1619888547.357811,1514
1619888547.358051,1514
1619888547.358051,1514
1619888547.358051,1514
1619888547.358783,952
1619888547.374116,54
1619888547.374266,54
1619888547.374341,96
1619888547.392474,180
1619888547.408475,1514
1619888547.408475,872
1619888547.410741,105
1619888547.416009,768
1619888547.424184,54
1619888547.439578,172
1619888547.442480,450
1619888547.445694,85
1619888547.445694,54
1619888547.455538,172
1619888547.461527,54
