word,status
hey_alexa,alexa
hey_alexa,alexa
author,alexa
different,different
hey_alexa,alexa
hey_alexa,hey alexa
collection,Audio was not intended for Alexa
hey_alexa,alexa
hey_alexa,alexa
hey_alexa,alexa
answer,Audio was not intended for Alexa
hey_alexa,alexa
hey_alexa,alexa
answers,Audio was not intended for Alexa
hey_alexa,alexa
hey_alexa,hey alexa
hey_alexa,alexa
hey_alexa,Audio was not intended for Alexa
hey_alexa,alexa
hey_alexa,alexa
hey_alexa,hey alexa
hey_alexa,alexa
hey_alexa,alexa
collections,Audio was not intended for Alexa
hey_alexa,alexa
ultra,alexa
winner,winner
hey_alexa,alexa
hey_alexa,alexa
hey_alexa,hey alexa
hey_alexa,alexa
alex,Audio was not intended for Alexa
hey_alexa,alexa
awesome,Audio was not intended for Alexa
arthur,Audio was not intended for Alexa
hey_alexa,alexa
hey_alexa,alexa
hey_alexa,alexa
hey_alexa,Audio was not intended for Alexa
hey_alexa,alexa
hey_alexa,alexa
hey_alexa,alexa
hey_alexa,alexa
hey_alexa,alexa
hey_alexa,alexa
hey_alexa,Audio was not intended for Alexa
hey_alexa,hey alexa
hey_alexa,alexa
hey_alexa,Audio was not intended for Alexa
hey_alexa,hey alexa
hey_alexa,alexa
hey_alexa,alexa
hey_alexa,Audio was not intended for Alexa
hey_alexa,hey alexa
hey_alexa,alexa
hey_alexa,Audio was not intended for Alexa
hey_alexa,alexa
collectors,Audio was not intended for Alexa
lesser,alexa
publicity,publicity
lexus,Audio was not intended for Alexa
hey_alexa,alexa
hey_alexa,alexa
hey_alexa,alexa
hey_alexa,alexa
hey_alexa,Audio was not intended for Alexa
tulsa,Audio was not intended for Alexa
hey_alexa,alexa
hey_alexa,Audio was not intended for Alexa
