time,size
1620189814.317044,77
1620189814.353752,77
1620189814.360625,66
1620189832.686111,100
1620189832.695069,100
1620189832.713283,54
1620189843.028024,85
1620189843.037821,54
1620189845.301373,77
1620189845.337308,77
1620189845.350307,66
1620189856.226427,97
1620189856.226427,66
1620189862.686714,100
1620189862.724603,100
1620189862.743986,54
1620189869.764555,99
1620189869.784068,97
1620189869.792304,66
1620189876.244526,77
1620189876.284137,77
1620189876.290763,66
1620189892.687327,100
1620189892.695204,100
1620189892.715489,54
1620189897.132825,66
1620189897.172958,66
1620189904.073898,77
1620189904.078817,66
1620189907.215094,77
1620189907.254792,77
1620189907.256666,66
1620189922.687872,100
1620189922.694791,100
1620189922.709706,54
1620189938.190595,77
1620189938.225375,77
1620189938.233502,66
1620189946.945154,336
1620189946.947199,190
1620189946.955333,1514
1620189946.955333,1514
1620189946.955333,1514
1620189946.955333,1433
1620189946.955520,134
1620189946.958914,197
1620189946.960532,1514
1620189946.960532,456
1620189946.964803,54
1620189946.964835,54
1620189946.969534,260
1620189946.972897,54
1620189946.972924,54
1620189946.972942,54
1620189946.972960,54
1620189946.972981,54
1620189946.972999,54
1620189946.981169,54
1620189946.988442,54
1620189947.233593,79
1620189947.233593,336
1620189947.234915,190
1620189947.239451,1514
1620189947.239451,1514
1620189947.239451,1514
1620189947.239451,1396
1620189947.244160,136
1620189947.247928,127
1620189947.248778,92
1620189947.252924,54
1620189947.252951,54
1620189947.252967,54
1620189947.252980,54
1620189947.258938,74
1620189947.260213,54
1620189947.268381,54
1620189947.275760,66
1620189947.277431,54
1620189947.286697,240
1620189947.292063,54
1620189947.300308,54
1620189947.301395,1514
1620189947.301544,1514
1620189947.301628,1514
1620189947.301701,1171
1620189947.305896,54
1620189947.305896,54
1620189947.305896,54
1620189947.305896,54
1620189947.394820,180
1620189947.394869,196
1620189947.395076,92
1620189947.399706,54
1620189947.412031,105
1620189947.413796,54
1620189947.419847,1514
1620189947.421172,1514
1620189947.421172,1514
1620189947.421329,1514
1620189947.421329,1514
1620189947.422175,952
1620189947.427017,764
1620189947.435681,54
1620189947.435809,54
1620189947.444195,1452
1620189947.447264,172
1620189947.458416,450
1620189947.459397,54
1620189947.462752,85
1620189947.462752,54
1620189947.466543,54
1620189947.477723,172
1620189947.482134,54
1620189947.486930,172
1620189947.487983,54
1620189947.491035,54
1620189947.494021,172
1620189947.505627,54
1620189947.513790,54
1620189947.533902,172
1620189947.550853,172
1620189947.553892,54
1620189947.569489,172
1620189947.571182,54
1620189947.584826,172
1620189947.586581,54
1620189947.600250,336
1620189947.602716,190
1620189947.602868,54
1620189947.606308,1514
1620189947.609823,1514
1620189947.609823,1514
1620189947.609982,1070
1620189947.609982,136
1620189947.612051,92
1620189947.616888,172
1620189947.619470,54
1620189947.619610,54
1620189947.619683,54
1620189947.627456,54
1620189947.627595,54
1620189947.627671,54
1620189947.628444,96
1620189947.632309,172
1620189947.652110,54
1620189947.657857,172
1620189947.668199,172
1620189947.675757,197
1620189947.675913,92
1620189947.681295,172
1620189947.683917,54
1620189947.705810,172
1620189947.724057,172
1620189947.726512,54
1620189947.763146,172
1620189947.763146,172
1620189947.778873,172
1620189947.780276,54
1620189947.797379,54
1620189947.841350,172
1620189947.841350,172
1620189947.846173,172
1620189947.853840,54
1620189947.868417,172
1620189947.876635,172
1620189947.885685,54
1620189947.900889,172
1620189947.918424,54
1620189947.919731,172
1620189947.940645,172
1620189947.958184,172
1620189947.958377,54
1620189947.982816,172
1620189947.998516,54
1620189948.000109,172
1620189948.039521,172
1620189948.047026,172
1620189948.054789,54
1620189948.064287,172
1620189948.077402,54
1620189948.081548,172
1620189948.135075,172
1620189948.135075,172
1620189948.144426,172
1620189948.150316,54
1620189948.158381,54
1620189948.161090,172
1620189948.184078,172
1620189948.198456,54
1620189948.202052,172
1620189948.226526,172
1620189948.246536,54
1620189948.248376,172
1620189948.258820,172
1620189948.278465,54
1620189948.283787,172
1620189948.301781,172
1620189948.318445,54
1620189948.344882,172
1620189948.349666,172
1620189948.356562,172
1620189948.365720,54
1620189948.372602,172
1620189948.390304,54
1620189948.398626,172
1620189948.429349,172
1620189948.438334,172
1620189948.445639,54
1620189948.462443,172
1620189948.476831,172
1620189948.478446,54
1620189948.494487,172
1620189948.510166,54
1620189948.526837,172
1620189948.543369,172
1620189948.558459,54
1620189948.560339,172
1620189948.593512,172
1620189948.605674,54
1620189948.613265,172
1620189948.645173,172
1620189948.645173,172
1620189948.662125,54
1620189948.666821,172
1620189948.685648,54
1620189948.690081,172
1620189948.702201,172
1620189948.718450,54
1620189948.725543,172
1620189948.739168,172
1620189948.758368,54
1620189948.771587,172
1620189948.780978,172
1620189948.795263,172
1620189948.799369,54
1620189948.820192,172
1620189948.839406,54
1620189948.852385,172
1620189948.861945,172
1620189948.878182,172
1620189948.881251,54
1620189948.900944,172
1620189948.921233,54
1620189948.944979,172
1620189948.944979,172
1620189948.950172,172
1620189948.963844,54
1620189948.992126,172
1620189949.008954,172
1620189949.023863,54
1620189949.024083,172
1620189949.039269,172
1620189949.057441,54
1620189949.072826,172
1620189949.088297,172
1620189949.097433,172
1620189949.102992,54
1620189949.123626,172
1620189949.137510,54
1620189949.148054,172
1620189949.161878,172
1620189949.174835,54
1620189949.186189,172
1620189949.202367,172
1620189949.217464,54
1620189949.240342,172
1620189949.251385,172
1620189949.260678,172
1620189949.265719,54
1620189949.294659,172
1620189949.313923,54
1620189949.315697,172
1620189949.325505,172
1620189949.338449,54
1620189949.361180,172
1620189949.361180,172
1620189949.378488,54
1620189949.390037,172
1620189949.396979,172
1620189949.410314,54
1620189949.421852,172
1620189949.439848,172
1620189949.457384,54
1620189949.470554,172
1620189949.482540,172
1620189949.498472,54
1620189949.511198,172
1620189949.520555,172
1620189949.538393,54
1620189949.572465,172
1620189949.572465,172
1620189949.577525,172
1620189949.585728,54
1620189949.600721,172
1620189949.617450,54
1620189949.635584,172
1620189949.644578,172
1620189949.658457,54
1620189949.667714,172
1620189949.682510,172
1620189949.698470,54
1620189949.698726,172
1620189949.732012,172
1620189949.742097,172
1620189949.745811,54
1620189949.763765,172
1620189949.777442,54
1620189949.779215,172
1620189949.799643,172
1620189949.811677,172
1620189949.818466,54
1620189949.831420,172
1620189949.850523,54
1620189949.871612,172
1620189949.885336,172
1620189949.895734,172
1620189949.897427,54
1620189949.917550,172
1620189949.938450,54
1620189949.945632,172
1620189949.967333,172
1620189949.976768,172
1620189949.985683,54
1620189950.007714,172
1620189950.025759,54
1620189950.032313,172
1620189950.041535,172
1620189950.058415,54
1620189950.067472,172
1620189950.074089,172
1620189950.090632,54
1620189950.107363,172
1620189950.130090,172
1620189950.145741,54
1620189950.171346,172
1620189950.171346,172
1620189950.179204,172
1620189950.185705,54
1620189950.202920,172
1620189950.218485,54
1620189950.229175,172
1620189950.242914,172
1620189950.258439,54
1620189950.267915,172
1620189950.294953,172
1620189950.302829,172
1620189950.307905,172
1620189950.313863,54
1620189950.322053,54
1620189950.352742,172
1620189950.381340,172
1620189950.382961,172
1620189950.393988,54
1620189950.398240,172
1620189950.417494,54
1620189950.422140,172
1620189950.437610,172
1620189950.454618,172
1620189950.458482,54
1620189950.474420,172
1620189950.490338,54
1620189950.515192,172
1620189950.529384,172
1620189950.539115,172
1620189950.546665,54
1620189950.560477,172
1620189950.579445,54
1620189950.586093,172
1620189950.618771,172
1620189950.623318,172
1620189950.633887,172
1620189950.635677,54
1620189950.651982,54
1620189950.668319,172
1620189950.681770,172
1620189950.698479,172
1620189950.701218,54
1620189950.714753,172
1620189950.734865,54
1620189950.749242,172
1620189950.772777,172
1620189950.781062,172
1620189950.793009,54
1620189950.814503,172
1620189950.831563,172
1620189950.834851,54
1620189950.838523,172
1620189950.853061,54
1620189950.853706,172
1620189950.870200,172
1620189950.886652,54
1620189950.918793,172
1620189950.927258,172
1620189950.938838,172
1620189950.942156,54
1620189950.959061,172
1620189950.977496,54
1620189950.983721,172
1620189951.007905,172
1620189951.019375,172
1620189951.021228,54
1620189951.039981,172
1620189951.054873,54
1620189951.072710,172
1620189951.092400,172
1620189951.105774,172
1620189951.111248,54
1620189951.122760,172
1620189951.134862,54
1620189951.138220,172
1620189951.170683,172
1620189951.180335,172
1620189951.191161,54
1620189951.218767,172
1620189951.228713,172
1620189951.236604,172
1620189951.238691,54
1620189951.254843,54
1620189951.259937,172
1620189951.276267,172
1620189951.279404,96
1620189951.307344,172
1620189951.326422,172
1620189951.326578,54
1620189951.335802,172
1620189951.348985,172
1620189951.351198,54
1620189951.404864,172
1620189951.407520,172
1620189951.409434,54
1620189951.422991,54
1620189951.428396,172
1620189951.438839,172
1620189951.446777,54
1620189951.454768,54
1620189951.472864,172
1620189951.486589,54
1620189951.518886,172
1620189951.518886,172
1620189951.522488,172
1620189951.535784,54
1620189951.552057,172
1620189951.563196,172
1620189951.566663,54
1620189951.583061,54
1620189951.585183,172
1620189951.599400,54
1620189951.603694,172
1620189951.623024,54
1620189951.637010,172
1620189951.653820,172
1620189951.654821,54
1620189951.671281,54
1620189951.711018,172
1620189951.711018,172
1620189951.711018,172
1620189951.716694,172
1620189951.726660,54
1620189951.727477,54
1620189951.732787,172
1620189951.734830,54
1620189951.749931,172
1620189951.751240,54
1620189951.766635,54
1620189951.783645,172
1620189951.799455,54
1620189951.814038,172
1620189951.823093,172
1620189951.830026,172
1620189951.831310,54
1620189951.839498,54
1620189951.846670,54
1620189951.862913,172
1620189951.879403,54
1620189951.888327,172
1620189951.903023,54
1620189951.935361,172
1620189951.935361,172
1620189951.951213,54
1620189951.955878,172
1620189951.968703,172
1620189951.974845,54
1620189951.979256,172
1620189951.983053,54
1620189951.999395,54
1620189952.002107,172
1620189952.014947,54
1620189952.033583,172
1620189952.042755,172
1620189952.046577,54
1620189952.055719,54
1620189952.066568,172
1620189952.079463,54
1620189952.086046,172
1620189952.100791,172
1620189952.103068,54
1620189952.119413,54
1620189952.147635,172
1620189952.147635,172
1620189952.155565,172
1620189952.167524,54
1620189952.174950,54
1620189952.180138,172
1620189952.199427,54
1620189952.206174,172
1620189952.219346,172
1620189952.223056,54
1620189952.239446,54
1620189952.273286,172
1620189952.273286,172
1620189952.286615,54
1620189952.293089,172
1620189952.302429,172
1620189952.306780,172
1620189952.311129,54
1620189952.319410,54
1620189952.322155,172
1620189952.326642,54
1620189952.334811,54
1620189952.351446,172
1620189952.366683,54
1620189952.367406,172
1620189952.383057,54
1620189952.384444,172
1620189952.399424,54
1620189952.401677,172
1620189952.414869,54
1620189952.445099,172
1620189952.445099,172
1620189952.463135,54
1620189952.464946,172
1620189952.479411,54
1620189952.484819,172
1620189952.503031,54
1620189952.504725,172
1620189952.519470,54
1620189952.529606,172
1620189952.537721,172
1620189952.543018,54
1620189952.551305,54
1620189952.563313,172
1620189952.575712,54
1620189952.578906,172
1620189952.592130,54
1620189952.611412,172
1620189952.620978,172
1620189952.632193,54
1620189952.637653,172
1620189952.640425,54
1620189952.657497,54
1620189952.686500,172
1620189952.687511,100
1620189952.693454,100
1620189952.699073,172
1620189952.706633,54
1620189952.708636,172
1620189952.724015,54
1620189952.746235,172
1620189952.751507,172
1620189952.765768,172
1620189952.767513,54
1620189952.782155,172
1620189952.802195,54
1620189952.802884,172
1620189952.814637,172
1620189952.829443,54
1620189952.847313,172
1620189952.864149,172
1620189952.879780,172
1620189952.883991,54
1620189952.913904,172
1620189952.927530,54
1620189952.928564,172
1620189952.938891,172
1620189952.953118,54
1620189952.961732,172
1620189952.985948,172
1620189953.001320,54
1620189953.002595,172
1620189953.045030,172
1620189953.045030,172
1620189953.057444,54
1620189953.075356,172
1620189953.083588,172
1620189953.089402,54
1620189953.110323,172
1620189953.129383,54
1620189953.145111,172
1620189953.151056,172
1620189953.160954,172
1620189953.169353,54
1620189953.183142,172
1620189953.201286,54
1620189953.201536,172
1620189953.232297,172
1620189953.249415,54
1620189953.253965,421
1620189953.268444,172
1620189953.268444,172
1620189953.280137,172
1620189953.281288,54
1620189953.303953,136
1620189953.303953,92
1620189953.321236,54
1620189953.369480,54
1620189953.374828,196
1620189953.374854,92
1620189953.378111,54
1620189953.923893,336
1620189953.930609,190
1620189953.930609,1514
1620189953.930750,1514
1620189953.931611,1514
1620189953.931611,1068
1620189953.934635,136
1620189953.937575,92
1620189953.937633,54
1620189953.945300,54
1620189953.945446,54
1620189953.945520,54
1620189953.954013,54
1620189953.954144,54
1620189954.004068,197
1620189954.004227,92
1620189954.006080,54
1620189957.140326,66
1620189957.155855,66
1620189957.330155,98
1620189958.331531,98
1620189959.335560,98
1620189960.336941,98
1620189960.769483,99
1620189960.787781,97
1620189960.793104,66
1620189961.336110,98
1620189962.338400,98
1620189963.339578,98
1620189964.340923,98
1620189965.342333,98
1620189966.362894,98
1620189967.355668,89
1620189967.375592,153
1620189967.381444,74
1620189967.391595,74
1620189967.399527,66
1620189967.399527,256
1620189967.407896,66
1620189967.408032,530
1620189967.408117,99
1620189967.412258,66
1620189967.412258,66
1620189969.223009,77
1620189969.257891,77
1620189969.261942,66
1620189982.688179,100
1620189982.699031,100
1620189982.711006,54
1620190000.252319,77
1620190000.286716,77
1620190000.288362,66
1620190012.688726,100
1620190012.707780,100
1620190012.726041,54
1620190024.082744,77
1620190024.084338,66
1620190031.211939,77
1620190031.251997,77
1620190031.261759,66
1620190042.689382,100
1620190042.701859,100
1620190042.720394,54
1620190051.779193,99
1620190051.797761,97
1620190051.803239,66
1620190054.328850,336
1620190054.333803,190
1620190054.335732,1514
1620190054.339418,1514
1620190054.339418,1514
1620190054.339418,1433
1620190054.342513,134
1620190054.342513,197
1620190054.345950,1514
1620190054.345950,456
1620190054.347800,54
1620190054.347831,54
1620190054.352195,260
1620190054.355993,54
1620190054.356018,54
1620190054.356032,54
1620190054.356045,96
1620190054.363296,54
1620190054.403345,54
1620190054.403345,336
1620190054.406155,190
1620190054.407950,1514
1620190054.407950,1514
1620190054.407950,1514
1620190054.407950,1395
1620190054.416804,136
1620190054.416804,92
1620190054.419644,54
1620190054.427855,54
1620190054.427903,54
1620190054.436021,54
1620190054.472424,197
1620190054.473287,92
1620190054.509710,79
1620190054.509710,54
1620190054.509807,54
1620190054.524508,127
1620190054.544155,74
1620190054.562479,66
1620190054.573606,54
1620190054.586952,54
1620190054.594369,272
1620190054.610681,54
1620190054.610868,206
1620190054.624882,54
1620190054.624882,105
1620190054.631589,1514
1620190054.631589,1514
1620190054.631741,1514
1620190054.631741,1514
1620190054.632643,1514
1620190054.632643,952
1620190054.649635,54
1620190054.649936,1052
1620190054.650635,54
1620190054.650769,54
1620190054.675570,172
1620190054.684978,172
1620190054.687855,54
1620190054.690708,54
1620190054.695167,765
1620190054.695167,172
1620190054.710602,54
1620190054.711592,54
1620190054.732445,450
1620190054.747386,172
1620190054.747386,85
1620190054.747585,54
1620190054.747585,172
1620190054.766880,54
1620190054.766885,54
1620190054.772002,54
1620190054.772002,172
1620190054.781641,172
1620190054.798799,54
1620190054.803911,172
1620190054.828456,172
1620190054.846893,54
1620190054.856317,172
1620190054.865650,172
1620190054.870929,172
1620190054.878786,54
1620190054.890264,336
1620190054.904456,190
1620190054.904456,1514
1620190054.904494,1514
1620190054.904494,1514
1620190054.904494,1070
1620190054.904494,136
1620190054.905844,92
1620190054.910601,54
1620190054.911348,172
1620190054.918598,54
1620190054.919680,172
1620190054.934129,54
1620190054.944184,172
1620190054.952025,172
1620190054.965977,54
1620190054.968684,197
1620190054.968706,92
1620190054.971679,54
1620190054.971679,54
1620190054.992193,172
1620190055.001858,172
1620190055.021579,54
1620190055.047462,172
1620190055.047462,172
1620190055.056395,172
1620190055.061556,54
1620190055.089223,172
1620190055.101540,54
1620190055.105458,172
1620190055.121148,172
1620190055.134266,54
1620190055.154558,172
1620190055.170949,172
1620190055.179738,172
1620190055.189730,54
1620190055.203871,172
1620190055.221545,54
1620190055.235986,172
1620190055.251689,172
1620190055.260894,172
1620190055.269672,54
1620190055.289646,172
1620190055.308840,172
1620190055.309642,54
1620190055.347324,172
1620190055.347324,172
1620190055.365160,54
1620190055.365945,172
1620190055.381562,54
1620190055.393112,172
1620190055.409281,172
1620190055.420692,172
1620190055.422330,54
1620190055.441622,172
1620190055.461495,54
1620190055.474792,172
1620190055.489740,172
1620190055.501652,172
1620190055.509673,54
1620190055.523997,172
1620190055.541548,54
1620190055.563469,172
1620190055.576109,172
1620190055.589223,172
1620190055.590653,54
1620190055.600651,172
1620190055.613358,54
1620190055.647622,172
1620190055.647622,172
1620190055.661577,54
1620190055.673255,172
1620190055.687586,172
1620190055.701568,54
1620190055.706501,172
1620190055.735494,172
1620190055.747892,172
1620190055.749680,54
1620190055.768183,172
1620190055.781528,54
1620190055.782626,172
1620190055.810959,172
1620190055.823941,172
1620190055.829686,54
1620190055.852471,172
1620190055.856893,172
1620190055.869711,54
1620190055.889048,172
1620190055.899407,172
1620190055.909658,54
1620190055.950792,172
1620190055.961588,54
1620190055.962556,172
1620190055.966078,54
1620190055.980527,172
1620190055.981578,54
1620190055.991427,172
1620190055.997792,54
1620190056.004315,172
1620190056.005964,54
1620190056.019814,172
1620190056.021500,54
1620190056.037918,54
1620190056.043645,172
1620190056.061535,54
1620190056.069830,172
1620190056.085137,54
1620190056.086294,172
1620190056.101601,54
1620190056.109863,172
1620190056.126092,54
1620190056.126470,172
1620190056.141578,54
1620190056.158780,172
1620190056.158780,172
1620190056.173260,54
1620190056.191029,172
1620190056.200496,172
1620190056.205182,54
1620190056.213347,54
1620190056.224834,172
1620190056.233546,172
1620190056.237907,54
1620190056.253229,54
1620190056.272866,172
1620190056.281628,172
1620190056.285302,54
1620190056.299032,172
1620190056.302413,54
1620190056.313807,172
1620190056.317887,54
1620190056.333356,54
1620190056.354019,172
1620190056.365318,172
1620190056.373355,54
1620190056.381588,54
1620190056.386388,172
1620190056.402754,172
1620190056.406098,54
1620190056.422351,54
1620190056.426824,172
1620190056.446119,54
1620190056.458733,172
1620190056.467472,172
1620190056.477900,54
1620190056.478480,172
1620190056.486090,54
1620190056.494291,54
1620190056.518627,172
1620190056.525647,172
1620190056.533358,54
1620190056.541507,54
1620190056.549035,172
1620190056.559505,172
1620190056.565141,54
1620190056.574334,54
1620190056.596765,172
1620190056.614286,54
