start_time,end_time
1620654142.1449478,1620654142.2252421
1620654142.2761254,1620654148.7955785
1620654345.541415,1620654352.2216344
1620654555.4039872,1620654562.5670993
1620654771.0020678,1620654771.162774
1620654771.1833293,1620654777.9441578
1620654986.7528234,1620654993.5135522
1620655030.6756938,1620655033.9755464
1620655034.0566068,1620655060.9392438
1620655441.1602037,1620655447.9210017
1620655658.11555,1620655665.2786229
1620655749.5832212,1620655751.675685
1620655880.9773076,1620655887.496655
1620656097.4279194,1620656099.0376236
1620656313.3320017,1620656320.1731832
1620656426.1110802,1620656433.0327508
1620656539.810725,1620656547.054422
1620656653.1642928,1620656659.8444452
1620656766.895871,1620656773.5762093
1620656881.8991055,1620656888.5777493
1620657211.71416,1620657218.7157035
1620657435.3922503,1620657435.5529509
1620657435.5836504,1620657435.6640477
1620657435.674385,1620657437.5253565
1620657543.5883696,1620657550.348689
1620657711.2358282,1620657713.4893506
1620657982.3254979,1620657989.3278358
1620658854.2318869,1620658861.234068
1620659401.436883,1620659408.1974034
1620660490.2622468,1620660496.861862
1620660606.0960796,1620660613.0175288
1620660722.2012262,1620660728.559352
1620660837.7634087,1620660844.2020373
1620660968.5394526,1620660970.0682921
1620661609.551359,1620661616.392344
1620661684.16406,1620661684.3249242
1620661684.335315,1620661696.4886591
1620661736.878494,1620661743.0757947
1620662067.5819802,1620662074.262902
1620662292.9074364,1620662299.7491395
1620662633.0941947,1620662639.855173
1620662860.3797002,1620662867.221075
1620662976.490396,1620662983.0904226
1620663314.02368,1620663314.1845398
1620663314.194957,1620663316.0461063
1620663533.7315185,1620663540.5726702
1620664418.871222,1620664425.7927666
1620664534.7665021,1620664541.3662674
1620664650.228608,1620664656.7478585
1620665092.9653223,1620665095.3798537
1620665752.2263665,1620665754.2384677
1620666303.1650014,1620666310.0061226
1620666969.9105623,1620666971.7614982
1620667831.0374172,1620667832.9689708
1620667854.3185196,1620667860.5963402
1620668406.250647,1620668413.091768
1620669078.4806938,1620669085.3216863
1620669418.0898063,1620669420.0213563
1620670300.4587176,1620670307.2198613
1620670749.555847,1620670756.2360656
1620670868.613085,1620670875.2935395
1620672091.1385372,1620672097.899176
1620672209.8279638,1620672216.427456
1620672874.936086,1620672881.6967316
1620672990.7809534,1620672997.3001432
1620673334.9997113,1620673341.8407009
1620673452.6868126,1620673459.9303067
1620674232.5919976,1620674239.5136611
1620674580.5549495,1620674582.7278945
1620675027.832819,1620675034.432426
1620675144.2058773,1620675146.137068
1620675594.653312,1620675596.423923
1620676037.5602906,1620676039.33084
