word,start_time,end_time
the,1619975267.173178,1619975268.0034852
ok_google,1619975268.995553,1619975270.454971
of,1619975271.462823,1619975272.3194368
and,1619975273.3389618,1619975274.1958883
to,1619975275.210948,1619975275.9190445
a,1619975276.934013,1619975277.6412945
in,1619975278.6577387,1619975279.4141574
for,1619975280.4436035,1619975281.3015306
is,1619975282.3036165,1619975283.1155787
on,1619975284.1237783,1619975284.9822001
that,1619975286.011058,1619975286.8175957
by,1619975287.838305,1619975288.7453237
this,1619975289.771941,1619975290.780938
with,1619975291.8054922,1619975292.5635138
i,1619975293.5620198,1619975294.3684928
you,1619975295.381205,1619975296.3385751
it,1619975297.3671272,1619975298.0245512
not,1619975299.0517483,1619975299.9606988
or,1619975300.9717386,1619975301.6781204
be,1619975302.6982338,1619975303.5553734
are,1619975304.574638,1619975305.2814744
from,1619975306.3105075,1619975307.3180697
at,1619975308.3423455,1619975309.100313
as,1619975310.1260855,1619975311.0351331
your,1619975312.062092,1619975313.020489
all,1619975314.0322242,1619975314.7884948
have,1619975315.8140132,1619975316.6225712
new,1619975317.6522107,1619975318.5585356
more,1619975319.5878866,1619975320.4444096
an,1619975321.4511204,1619975322.307624
was,1619975323.3268106,1619975324.383523
we,1619975325.3989136,1619975326.2570434
will,1619975327.276351,1619975328.0830567
home,1619975329.0817878,1619975329.9884627
can,1619975331.0178883,1619975331.9269788
us,1619975332.9533284,1619975333.7601962
about,1619975334.7881033,1619975335.79829
if,1619975336.8223357,1619975337.5295882
page,1619975338.54916,1619975339.4555097
my,1619975340.475691,1619975341.3343084
has,1619975342.3269343,1619975343.335958
search,1619975344.3473864,1619975345.4061615
free,1619975346.431881,1619975347.391029
but,1619975348.4027743,1619975349.2607176
our,1619975350.2805433,1619975351.0364754
one,1619975352.0590444,1619975353.0180528
other,1619975354.040601,1619975354.797527
do,1619975355.8094523,1619975356.668625
no,1619975357.6917093,1619975358.547961
information,1619975359.5662975,1619975360.9764822
time,1619975361.9995627,1619975362.9063914
they,1619975363.9235594,1619975364.7321377
hey_alexa,1619975365.7537594,1619975367.1110272
site,1619975374.6832848,1619975375.6432345
he,1619975376.6474245,1619975377.454335
up,1619975378.4620292,1619975379.1683059
may,1619975380.1857982,1619975381.0424538
what,1619975382.0693488,1619975382.8759267
which,1619975383.8971536,1619975384.7573586
their,1619975385.7736392,1619975386.6300187
news,1619975387.6497047,1619975388.756652
out,1619975389.7802436,1619975390.5858073
use,1619975391.6049683,1619975392.6112728
any,1619975393.6140985,1619975394.4221084
there,1619975395.4274561,1619975396.2866092
see,1619975397.3022175,1619975398.2600355
only,1619975399.271207,1619975400.1781676
so,1619975401.2017593,1619975402.1588223
his,1619975403.1775074,1619975404.1354635
when,1619975405.1473215,1619975406.004648
contact,1619975407.0367532,1619975408.0435162
here,1619975409.067958,1619975409.9251707
business,1619975410.9552472,1619975412.1619503
who,1619975413.1897256,1619975413.9463756
web,1619975414.9598744,1619975415.8163364
