word,start_time,end_time
the,1619818525.6007671,1619818526.5331054
hey_siri,1619818527.5632997,1619818528.9709084
of,1619818529.9755347,1619818530.7335608
and,1619818531.7539308,1619818532.7115896
to,1619818533.72982,1619818534.6366267
a,1619818535.655686,1619818536.4617095
in,1619818537.4800963,1619818538.235849
for,1619818539.2524066,1619818540.259617
is,1619818541.2787344,1619818542.1861937
on,1619818543.1986601,1619818544.0068436
that,1619818545.0277734,1619818545.9862208
by,1619818547.0038924,1619818547.8636215
this,1619818548.8839593,1619818549.9412065
with,1619818550.9621503,1619818551.7686353
i,1619818552.789353,1619818553.5461767
you,1619818554.5574167,1619818555.415596
it,1619818556.4288192,1619818557.28554
not,1619818558.2973192,1619818559.3544073
or,1619818560.3768723,1619818561.182789
be,1619818562.1787438,1619818563.0357845
are,1619818564.057033,1619818564.814112
from,1619818565.8182058,1619818566.7762787
at,1619818567.7988567,1619818568.7051613
as,1619818569.721449,1619818570.6287649
your,1619818571.6484518,1619818572.6052809
all,1619818573.6070383,1619818574.464292
have,1619818575.4786527,1619818576.3368928
new,1619818577.3490407,1619818578.2570546
more,1619818579.277145,1619818580.2339041
an,1619818581.2272685,1619818581.9853623
was,1619818583.0129158,1619818584.0708387
we,1619818585.0778508,1619818585.98448
will,1619818586.9877396,1619818587.895342
home,1619818588.913251,1619818589.8714674
can,1619818590.8877017,1619818591.7451172
us,1619818592.754787,1619818593.7123291
about,1619818594.7110784,1619818595.8187191
if,1619818596.832097,1619818597.69035
page,1619818598.7096455,1619818599.8177886
my,1619818600.8214872,1619818601.7297688
has,1619818602.7510734,1619818603.8105273
search,1619818604.833873,1619818606.09207
free,1619818607.111012,1619818608.0685472
but,1619818609.070671,1619818610.0282428
our,1619818611.0455172,1619818611.9039345
one,1619818612.9209185,1619818613.8780832
other,1619818614.8767903,1619818615.68366
do,1619818616.690973,1619818617.5484805
no,1619818618.544566,1619818619.4521227
information,1619818620.4587154,1619818621.8668146
time,1619818622.8853812,1619818623.8937383
they,1619818624.914103,1619818625.8214052
hey_siri,1619818626.843654,1619818628.2519786
site,1619818629.2771904,1619818630.434742
he,1619818631.4495115,1619818632.2557435
up,1619818633.2777843,1619818634.03796
may,1619818635.035011,1619818635.9455955
what,1619818636.9463859,1619818638.005676
which,1619818639.0309007,1619818640.1381671
their,1619818641.1599905,1619818642.0168343
news,1619818643.034136,1619818644.292303
out,1619818645.2917871,1619818646.2502885
use,1619818647.268661,1619818648.4261236
any,1619818649.4411526,1619818650.2990437
there,1619818651.3199267,1619818652.1779072
see,1619818653.202598,1619818654.211103
only,1619818655.2267008,1619818656.2848349
so,1619818657.2928278,1619818658.300427
his,1619818659.32248,1619818660.3804936
when,1619818661.395834,1619818662.2543032
contact,1619818663.2808096,1619818664.588538
here,1619818665.6087017,1619818666.5156722
business,1619818667.5409307,1619818668.850641
who,1619818669.8681884,1619818670.6745262
web,1619818671.6949542,1619818672.5511916
also,1619818673.5713809,1619818674.7281368
now,1619818675.7281547,1619818676.6860843
help,1619818677.6861122,1619818678.594516
get,1619818679.6075602,1619818680.5162811
pm,1619818681.5360172,1619818682.5944946
view,1619818683.5882764,1619818684.6460874
online,1619818685.63788,1619818686.7958195
c,1619818687.813842,1619818688.8221736
e,1619818689.8440065,1619818690.6013663
first,1619818691.6173012,1619818692.8750012
am,1619818693.8686244,1619818694.6770382
been,1619818695.687707,1619818696.5942304
would,1619818697.6069508,1619818698.514593
how,1619818699.5408669,1619818700.4485633
were,1619818701.4649858,1619818702.3240552
me,1619818703.326214,1619818704.1860418
s,1619818705.2109444,1619818706.1685233
services,1619818707.1857452,1619818708.6442192
some,1619818709.6643262,1619818710.62254
these,1619818711.641976,1619818712.8497145
click,1619818713.8665879,1619818714.8232105
its,1619818715.8325372,1619818716.8392067
like,1619818717.8636422,1619818718.8718846
service,1619818719.8953571,1619818721.2554631
x,1619818722.2851374,1619818723.391637
than,1619818724.3945935,1619818725.3008988
find,1619818726.3062873,1619818727.4129415
price,1619818728.4285495,1619818729.5853176
ok_google,1619818730.6131258,1619818732.2214043
date,1619818733.243003,1619818734.3014312
back,1619818735.3343513,1619818736.192987
top,1619818737.21167,1619818738.0690038
people,1619818739.0673132,1619818740.0243065
had,1619818741.018248,1619818741.8755195
list,1619818742.9066353,1619818744.0635962
name,1619818745.0850604,1619818746.0947006
just,1619818747.110388,1619818748.2188938
over,1619818749.2435203,1619818750.1018097
state,1619818751.1026268,1619818752.2602558
year,1619818753.2799566,1619818754.1388392
day,1619818755.1627607,1619818756.0185125
into,1619818757.0446074,1619818757.9530728
email,1619818758.9738996,1619818760.0338597
two,1619818761.0519485,1619818761.9093168
health,1619818762.9349766,1619818763.9448307
n,1619818764.9674168,1619818765.7233396
world,1619818766.7448652,1619818767.803749
re,1619818768.8250856,1619818769.6832879
next,1619818770.6961093,1619818771.9545507
used,1619818772.9769745,1619818774.1885478
go,1619818775.2129385,1619818776.0212498
b,1619818777.0418415,1619818777.9017107
work,1619818778.9023662,1619818779.960769
last,1619818780.981893,1619818782.191785
most,1619818783.2150354,1619818784.3732746
products,1619818785.383896,1619818786.7462811
music,1619818787.7646444,1619818788.924095
buy,1619818789.9378753,1619818790.795144
data,1619818791.7931752,1619818792.7513025
make,1619818793.7679691,1619818794.726104
them,1619818795.7386184,1619818796.595681
should,1619818797.5923965,1619818798.60057
product,1619818799.6141825,1619818800.7737012
system,1619818801.8050907,1619818803.014121
post,1619818804.0455368,1619818805.205237
her,1619818806.2346587,1619818807.0434434
city,1619818808.0695925,1619818809.1762297
t,1619818810.1902645,1619818811.097745
add,1619818812.1274004,1619818812.9339082
policy,1619818813.949761,1619818815.1065128
number,1619818816.1195168,1619818817.1278088
such,1619818818.1473432,1619818819.354927
please,1619818820.377612,1619818821.5349998
available,1619818822.5384388,1619818823.796114
copyright,1619818824.8243296,1619818826.1841347
support,1619818827.2026331,1619818828.5107718
message,1619818829.5264318,1619818830.7354
after,1619818831.7629256,1619818832.7718391
best,1619818833.7886324,1619818834.8481724
ok_google,1619818835.873616,1619818837.482566
software,1619818838.479544,1619818839.7373903
then,1619818840.7574196,1619818841.6147196
jan,1619818842.6255033,1619818843.584323
good,1619818844.612063,1619818845.4183757
video,1619818846.4179552,1619818847.5761826
well,1619818848.5926204,1619818849.5006015
d,1619818850.501962,1619818851.412579
where,1619818852.430271,1619818853.288316
info,1619818854.2925184,1619818855.350957
rights,1619818856.3696833,1619818857.6284962
public,1619818858.641977,1619818859.7010822
books,1619818860.716275,1619818861.8747146
high,1619818862.8949795,1619818863.7512944
school,1619818864.759722,1619818865.8168256
through,1619818866.8387015,1619818867.7966452
m,1619818868.818444,1619818869.57432
each,1619818870.5971746,1619818871.6574492
links,1619818872.6774528,1619818873.9351351
she,1619818874.9395297,1619818875.846773
review,1619818876.8710873,1619818877.9797807
years,1619818879.0025537,1619818880.2107427
order,1619818881.2313638,1619818882.1381059
very,1619818883.151191,1619818884.208894
privacy,1619818885.2051935,1619818886.4147508
book,1619818887.41952,1619818888.2758183
items,1619818889.2953184,1619818890.603644
company,1619818891.6213918,1619818892.7787774
r,1619818893.7971113,1619818894.6064308
read,1619818895.630364,1619818896.4880705
group,1619818897.5061934,1619818898.5136774
need,1619818899.5236957,1619818900.5820088
many,1619818901.5879984,1619818902.546622
user,1619818903.566334,1619818904.6243129
said,1619818905.6351836,1619818906.5426877
de,1619818907.555827,1619818908.3129451
does,1619818909.306319,1619818910.3131711
set,1619818911.3256824,1619818912.3843377
under,1619818913.4104276,1619818914.3181028
general,1619818915.349624,1619818916.4075654
research,1619818917.4356914,1619818918.8447788
university,1619818919.8644345,1619818921.4742668
january,1619818922.4885876,1619818923.7969685
mail,1619818924.8135521,1619818925.721167
full,1619818926.7438674,1619818927.6513145
map,1619818928.6476483,1619818929.5546498
reviews,1619818930.5717182,1619818931.8799381
program,1619818932.888486,1619818934.096024
life,1619818935.113182,1619818936.2207413
know,1619818937.2364106,1619818938.143582
games,1619818939.1655188,1619818940.3748693
ok_google,1619818941.402048,1619818943.0105739
way,1619818944.032355,1619818944.8895426
days,1619818945.906603,1619818947.0655522
management,1619818948.0927615,1619818949.5001442
p,1619818950.5233653,1619818951.383127
part,1619818952.3991215,1619818953.4580262
could,1619818954.460798,1619818955.2699008
great,1619818956.2964795,1619818957.3532302
united,1619818958.3785253,1619818959.6859038
hotel,1619818960.6785994,1619818961.8373592
real,1619818962.860991,1619818963.8197703
f,1619818964.8266618,1619818965.733824
item,1619818966.743789,1619818967.7496467
international,1619818968.7705717,1619818970.2273614
center,1619818971.240309,1619818972.3471456
ebay,1619818973.3625157,1619818974.418863
must,1619818975.4130611,1619818976.519645
store,1619818977.5345788,1619818978.5939581
travel,1619818979.6147256,1619818980.6217825
comments,1619818981.6134825,1619818982.8716655
made,1619818983.8922951,1619818984.9006934
development,1619818985.9255702,1619818987.3856184
report,1619818988.4084556,1619818989.6668587
off,1619818990.6793213,1619818991.5878668
member,1619818992.6133406,1619818993.6199453
details,1619818994.6455638,1619818996.0552773
line,1619818997.0711393,1619818998.079999
terms,1619818999.1020186,1619819000.3607981
before,1619819001.3611648,1619819002.4185266
hotels,1619819003.4379535,1619819004.8956704
did,1619819005.907076,1619819006.7642512
send,1619819007.769207,1619819008.8765097
right,1619819009.898307,1619819010.9582255
type,1619819011.967623,1619819012.875183
because,1619819013.8985877,1619819015.1081765
local,1619819016.1213634,1619819017.1299312
those,1619819018.1474905,1619819019.3046234
using,1619819020.3018265,1619819021.4097807
results,1619819022.4278498,1619819023.8382921
office,1619819024.8527982,1619819026.0121377
education,1619819027.0195942,1619819028.4277833
national,1619819029.441383,1619819030.5990534
car,1619819031.6004183,1619819032.4578393
design,1619819033.477463,1619819034.634994
take,1619819035.6467083,1619819036.6035144
posted,1619819037.6240075,1619819038.7819111
internet,1619819039.8061757,1619819041.0144892
address,1619819042.0359879,1619819043.2433026
community,1619819044.2449162,1619819045.5537338
within,1619819046.5543165,1619819047.6121833
states,1619819048.6319683,1619819050.040319
ok_google,1619819051.0619977,1619819052.670406
area,1619819053.6649675,1619819054.6725764
want,1619819055.6706114,1619819056.7284636
phone,1619819057.749063,1619819058.7563972
dvd,1619819059.774297,1619819061.3833551
shipping,1619819062.3814335,1619819063.4892197
reserved,1619819064.5073202,1619819065.715577
subject,1619819066.7286713,1619819068.0385132
between,1619819069.0515034,1619819070.1588786
forum,1619819071.1806962,1619819072.3384404
family,1619819073.3501947,1619819074.458179
l,1619819075.4814312,1619819076.239392
long,1619819077.2421556,1619819078.199484
based,1619819079.2190611,1619819080.3268483
w,1619819081.3464406,1619819082.503867
code,1619819083.5165162,1619819084.47344
show,1619819085.4686792,1619819086.4248405
o,1619819087.4384296,1619819088.1941245
even,1619819089.2117476,1619819090.1683547
black,1619819091.1889532,1619819092.144889
check,1619819093.1653707,1619819094.1224425
special,1619819095.1427739,1619819096.2500525
prices,1619819097.2509131,1619819098.5078263
website,1619819099.5118194,1619819100.8198206
index,1619819101.8254619,1619819103.1359377
being,1619819104.1521995,1619819105.158683
women,1619819106.1833048,1619819107.1912022
much,1619819108.208082,1619819109.3152616
sign,1619819110.342165,1619819111.4018593
file,1619819112.3951237,1619819113.4026198
link,1619819114.4216673,1619819115.4790306
