word,start_time,end_time
the,1620100061.3880258,1620100062.2694643
ok_google,1620100063.3053608,1620100064.7141209
of,1620100065.7444658,1620100066.500851
and,1620100067.510683,1620100068.3664937
to,1620100069.3922415,1620100070.2989335
a,1620100071.32711,1620100072.1354935
in,1620100073.1565075,1620100073.9650102
for,1620100074.9845402,1620100075.8927312
is,1620100076.912461,1620100077.8189588
on,1620100078.8393242,1620100079.645073
that,1620100080.676197,1620100081.483914
by,1620100082.5064638,1620100083.465584
this,1620100084.4731135,1620100085.3801105
with,1620100086.4019005,1620100087.2586432
i,1620100088.2867064,1620100089.1432211
you,1620100090.1626127,1620100091.019811
it,1620100092.0465236,1620100092.8053732
not,1620100093.8183963,1620100094.6788929
or,1620100095.7082272,1620100096.5181248
be,1620100097.5438695,1620100098.4026191
are,1620100099.4287052,1620100100.2344105
from,1620100101.2550488,1620100102.1658752
at,1620100103.201622,1620100104.0073264
as,1620100105.0344024,1620100105.9958916
your,1620100107.0123963,1620100107.8185074
all,1620100108.822781,1620100109.6286612
have,1620100110.653109,1620100111.5097716
new,1620100112.5337605,1620100113.3923202
more,1620100114.3970823,1620100115.2558517
an,1620100116.2812252,1620100117.1378706
was,1620100118.1356483,1620100119.1423562
we,1620100120.1557288,1620100121.0136287
will,1620100122.0404832,1620100122.8993406
home,1620100123.9101434,1620100124.7667537
can,1620100125.7960413,1620100126.7031598
us,1620100127.7208154,1620100128.5777555
about,1620100129.612339,1620100130.572392
if,1620100131.579189,1620100132.3852031
page,1620100133.4035249,1620100134.412588
my,1620100135.4297147,1620100136.285829
has,1620100137.319069,1620100138.3274112
search,1620100139.348694,1620100140.35512
free,1620100141.3823044,1620100142.288973
but,1620100143.308601,1620100144.1144435
our,1620100145.1392574,1620100145.8965445
one,1620100146.9073055,1620100147.8169882
other,1620100148.8230777,1620100149.6795402
do,1620100150.702666,1620100151.608861
no,1620100152.6388764,1620100153.4969804
information,1620100154.510828,1620100155.8190215
time,1620100156.8230443,1620100157.7304637
they,1620100158.7368195,1620100159.643842
ok_google,1620100160.6685631,1620100162.077083
site,1620100163.087037,1620100163.9967597
he,1620100165.012093,1620100165.8179972
up,1620100166.8429663,1620100167.550037
may,1620100168.5675893,1620100169.4745576
what,1620100170.4964929,1620100171.353428
which,1620100172.3792808,1620100173.3380942
their,1620100174.3549404,1620100175.163306
news,1620100176.1880348,1620100177.2446663
out,1620100178.2721462,1620100179.0799527
use,1620100180.1114407,1620100181.0697668
any,1620100182.070959,1620100182.8785455
there,1620100183.879138,1620100184.7354603
see,1620100185.7572596,1620100186.7149587
only,1620100187.7419176,1620100188.7015414
so,1620100189.7427454,1620100190.7000115
his,1620100191.7102659,1620100192.6173685
when,1620100193.6337354,1620100194.5401397
contact,1620100195.567536,1620100196.6745634
here,1620100197.699646,1620100198.5076766
business,1620100199.5238109,1620100200.5809999
who,1620100201.6030574,1620100202.4095132
web,1620100203.434918,1620100204.2920332
also,1620100205.3036368,1620100206.3601062
now,1620100207.3886898,1620100208.3484373
help,1620100209.3644574,1620100210.171207
get,1620100211.1935008,1620100212.0014539
pm,1620100213.015368,1620100214.123457
view,1620100215.1441958,1620100216.0506754
online,1620100217.0822713,1620100218.1916237
c,1620100219.2157805,1620100220.1725059
e,1620100221.1990445,1620100222.007636
first,1620100223.0270166,1620100224.035737
am,1620100225.0607667,1620100225.916846
been,1620100226.9452884,1620100227.8012605
would,1620100228.8190677,1620100229.726107
how,1620100230.7516203,1620100231.6604373
were,1620100232.6791916,1620100233.5859075
me,1620100234.6109073,1620100235.4169912
s,1620100236.4362996,1620100237.2953444
services,1620100238.2951975,1620100239.5543678
some,1620100240.582155,1620100241.5410354
these,1620100242.553341,1620100243.5638812
click,1620100244.5804155,1620100245.4371793
its,1620100246.4632463,1620100247.3232384
like,1620100248.324353,1620100249.1813102
service,1620100250.214443,1620100251.3216007
x,1620100252.3468008,1620100253.2548316
than,1620100254.2796025,1620100255.2367737
find,1620100256.2629032,1620100257.2191288
price,1620100258.2393553,1620100259.297948
ok_google,1620100260.302786,1620100261.711273
date,1620100262.7110748,1620100263.6186838
back,1620100264.6438072,1620100265.5023863
top,1620100266.5299065,1620100267.338567
people,1620100268.366112,1620100269.224827
had,1620100270.234035,1620100271.0933702
list,1620100272.1190946,1620100273.076091
name,1620100274.0903122,1620100275.0491693
just,1620100276.0751123,1620100277.0850525
over,1620100278.110903,1620100279.0200303
state,1620100280.0301027,1620100281.036689
year,1620100282.060212,1620100282.917787
day,1620100283.9357517,1620100284.8447378
into,1620100285.8690035,1620100286.7266357
email,1620100287.7352252,1620100288.7417538
two,1620100289.7632859,1620100290.6207583
health,1620100291.6503546,1620100292.5575314
n,1620100293.5836406,1620100294.3921688
world,1620100295.4163103,1620100296.3760142
re,1620100297.4073613,1620100298.266682
next,1620100299.3018615,1620100300.3093472
used,1620100301.335931,1620100302.3432975
go,1620100303.373762,1620100304.2811208
b,1620100305.3024058,1620100306.2105472
work,1620100307.2357435,1620100308.1424363
last,1620100309.1698759,1620100310.1784847
most,1620100311.1989582,1620100312.208429
products,1620100313.229809,1620100314.3371923
music,1620100315.3539662,1620100316.312838
buy,1620100317.333649,1620100318.2908115
data,1620100319.3141673,1620100320.1705558
make,1620100321.1991634,1620100322.0549123
them,1620100323.0605776,1620100323.9172473
should,1620100324.942984,1620100325.8496735
product,1620100326.8822467,1620100327.8897526
system,1620100328.9236095,1620100329.981884
post,1620100331.019721,1620100331.9769726
her,1620100332.9965434,1620100333.8539438
city,1620100334.8753004,1620100335.833704
t,1620100336.8586235,1620100337.7157712
add,1620100338.7453132,1620100339.553697
policy,1620100340.5848536,1620100341.6933532
number,1620100342.7156827,1620100343.6729426
such,1620100344.6861494,1620100345.6428838
please,1620100346.6673326,1620100347.725082
available,1620100348.7466938,1620100349.8564274
copyright,1620100350.8815043,1620100351.9901397
support,1620100353.009572,1620100354.1186664
message,1620100355.1450412,1620100356.2036533
after,1620100357.236644,1620100358.2449374
best,1620100359.277917,1620100360.2366192
ok_google,1620100361.2477357,1620100362.6575885
software,1620100363.6822171,1620100364.891905
then,1620100365.9105442,1620100366.820312
jan,1620100367.8500037,1620100368.8568285
good,1620100369.9030192,1620100370.7600574
video,1620100371.7632391,1620100372.8205218
well,1620100373.847842,1620100374.7544131
d,1620100375.7838836,1620100376.6904888
where,1620100377.7158136,1620100378.6217444
info,1620100379.6441123,1620100380.7027552
rights,1620100381.7156303,1620100382.674496
public,1620100383.7078965,1620100384.6663618
books,1620100385.6730459,1620100386.681569
high,1620100387.6844726,1620100388.543246
school,1620100389.5635388,1620100390.6210382
through,1620100391.6480424,1620100392.6062152
m,1620100393.6370125,1620100394.4449658
each,1620100395.4713178,1620100396.328989
links,1620100397.3369415,1620100398.2960079
she,1620100399.3278806,1620100400.2345119
review,1620100401.2653995,1620100402.3242874
years,1620100403.3536282,1620100404.4113045
order,1620100405.4346018,1620100406.3911932
very,1620100407.4173985,1620100408.3762558
privacy,1620100409.3983657,1620100410.5561664
book,1620100411.580912,1620100412.4370599
items,1620100413.4516954,1620100414.5080845
company,1620100415.535289,1620100416.5428524
r,1620100417.5776858,1620100418.3838816
read,1620100419.4120455,1620100420.320065
group,1620100421.3514955,1620100422.2080662
need,1620100423.2058885,1620100424.1157992
many,1620100425.12299,1620100426.0298429
user,1620100427.0496328,1620100428.059293
said,1620100429.0831418,1620100429.99022
de,1620100431.0181537,1620100431.8261995
does,1620100432.8325849,1620100433.8913512
set,1620100434.916603,1620100435.825627
under,1620100436.8529186,1620100437.7596703
general,1620100438.7831826,1620100439.789623
research,1620100440.8103206,1620100441.8693242
university,1620100442.871687,1620100444.2308967
january,1620100445.2577164,1620100446.5655196
mail,1620100447.591452,1620100448.4990153
full,1620100449.5202458,1620100450.4287639
map,1620100451.4413798,1620100452.2484996
reviews,1620100453.2732792,1620100454.4330223
program,1620100455.4562166,1620100456.5629866
life,1620100457.586162,1620100458.5430324
know,1620100459.553489,1620100460.4621184
games,1620100461.4793413,1620100462.5872657
hey_alexa,1620100463.6080866,1620100464.9150329
way,1620100473.4910238,1620100474.398558
days,1620100475.4259622,1620100476.483296
management,1620100477.4932442,1620100478.6504617
p,1620100479.6706696,1620100480.529419
part,1620100481.54158,1620100482.3994865
could,1620100483.42726,1620100484.2830675
great,1620100485.2957335,1620100486.2044568
united,1620100487.2096405,1620100488.2691514
hotel,1620100489.2996926,1620100490.4092102
real,1620100491.4260457,1620100492.334507
f,1620100493.3471255,1620100494.206355
item,1620100495.2339778,1620100496.1421998
international,1620100497.1709774,1620100498.5304518
center,1620100499.5534263,1620100500.6110234
ebay,1620100501.6122339,1620100502.620201
must,1620100503.6263177,1620100504.5850976
store,1620100505.6085649,1620100506.6158316
travel,1620100507.6423473,1620100508.5990963
comments,1620100509.6109128,1620100510.6682835
made,1620100511.7001383,1620100512.6080534
development,1620100513.6287222,1620100514.8886623
report,1620100515.9119563,1620100516.970389
off,1620100517.9959786,1620100518.8537598
member,1620100519.8742375,1620100520.833001
details,1620100521.8294723,1620100523.0369585
line,1620100524.051246,1620100524.9583232
terms,1620100525.976948,1620100527.0347743
before,1620100528.0287585,1620100529.08609
hotels,1620100530.1093428,1620100531.3676605
