time,size
1620073250.531367,77
1620073250.566882,77
1620073250.568460,66
1620073253.176429,66
1620073253.184290,66
1620073253.388352,66
1620073253.390995,54
1620073253.468675,98
1620073253.605729,66
1620073253.610866,54
1620073254.066561,66
1620073254.070967,54
1620073254.260650,100
1620073254.274067,100
1620073254.288869,54
1620073254.471302,98
1620073254.901022,66
1620073254.910894,54
1620073255.251607,77
1620073255.291013,66
1620073255.472863,98
1620073256.474182,98
1620073256.631498,66
1620073256.640998,54
1620073257.478020,98
1620073258.477553,98
1620073259.477888,98
1620073260.095654,66
1620073260.101205,54
1620073260.480670,98
1620073261.480080,98
1620073262.481565,98
1620073264.136559,89
1620073264.143708,354
1620073264.148793,190
1620073264.151862,1514
1620073264.151862,1514
1620073264.151904,1514
1620073264.151904,1344
1620073264.155039,153
1620073264.160638,134
1620073264.160638,197
1620073264.160735,54
1620073264.161989,1514
1620073264.164243,472
1620073264.165265,134
1620073264.168055,54
1620073264.168081,54
1620073264.168096,54
1620073264.168109,54
1620073264.168380,180
1620073264.174500,54
1620073264.175393,54
1620073264.175422,54
1620073264.181805,54
1620073264.182698,54
1620073264.182729,54
1620073264.229362,74
1620073264.229362,336
1620073264.234739,190
1620073264.239337,1514
1620073264.239337,1514
1620073264.239487,1514
1620073264.239487,1304
1620073264.241009,74
1620073264.242115,136
1620073264.243790,66
1620073264.243790,79
1620073264.245761,92
1620073264.245761,256
1620073264.246295,54
1620073264.253723,54
1620073264.253862,54
1620073264.253938,54
1620073264.254587,66
1620073264.255452,530
1620073264.255585,99
1620073264.260837,54
1620073264.260973,54
1620073264.262220,127
1620073264.285385,66
1620073264.285385,66
1620073264.291171,74
1620073264.298956,196
1620073264.299111,92
1620073264.309963,66
1620073264.312370,54
1620073264.313539,54
1620073264.331742,54
1620073264.351015,272
1620073264.367278,54
1620073264.368285,1514
1620073264.368312,1514
1620073264.368330,1514
1620073264.368346,1171
1620073264.371263,54
1620073264.371263,54
1620073264.371295,54
1620073264.371295,54
1620073264.428528,1514
1620073264.428528,1514
1620073264.428756,1514
1620073264.428756,1514
1620073264.429865,1514
1620073264.429865,952
1620073264.448075,54
1620073264.448161,54
1620073264.513845,1514
1620073264.514883,1514
1620073264.514883,932
1620073264.528088,172
1620073264.534446,54
1620073264.565080,172
1620073264.565080,172
1620073264.578244,172
1620073264.583616,54
1620073264.591569,180
1620073264.591715,54
1620073264.605437,105
1620073264.611452,765
1620073264.611452,172
1620073264.623563,172
1620073264.629511,172
1620073264.638207,428
1620073264.638430,105
1620073264.640831,54
1620073264.641364,85
1620073264.644200,54
1620073264.664041,172
1620073264.678038,54
1620073264.681241,172
1620073264.696154,172
1620073264.712543,172
1620073264.715267,54
1620073264.731930,172
1620073264.745402,54
1620073264.746672,336
1620073264.750313,190
1620073264.753865,1514
1620073264.753865,1514
1620073264.753887,1514
1620073264.753887,981
1620073264.757327,136
1620073264.760927,92
1620073264.768129,54
1620073264.768340,54
1620073264.768886,96
1620073264.771209,172
1620073264.776249,54
1620073264.784866,172
1620073264.793517,172
1620073264.797225,54
1620073264.826349,172
1620073264.828133,196
1620073264.828167,92
1620073264.860473,172
1620073264.860473,54
1620073264.867544,172
1620073264.877188,172
1620073264.879940,54
1620073264.891120,172
1620073264.895396,54
1620073264.927681,172
1620073264.938417,172
1620073264.940903,54
1620073264.953869,172
1620073264.970926,54
1620073264.990686,172
1620073265.005330,172
1620073265.021960,172
1620073265.023616,54
1620073265.040497,172
1620073265.053566,54
1620073265.070553,172
1620073265.086469,172
1620073265.095424,172
1620073265.106339,54
1620073265.110877,172
1620073265.129360,54
1620073265.152348,172
1620073265.160195,172
1620073265.173610,54
1620073265.183796,172
1620073265.191791,172
1620073265.211868,54
1620073265.232838,172
1620073265.248787,172
1620073265.262749,172
1620073265.264526,54
1620073265.272817,172
1620073265.287223,54
1620073265.306060,172
1620073265.323803,172
1620073265.339936,54
1620073265.370615,172
1620073265.370615,172
1620073265.384480,54
1620073265.389962,172
1620073265.404003,172
1620073265.420471,172
1620073265.422887,54
1620073265.436528,172
1620073265.452713,54
1620073265.485762,172
1620073265.485762,172
1620073265.502553,172
1620073265.505442,54
1620073265.508631,172
1620073265.528077,54
1620073265.551919,172
1620073265.566371,172
1620073265.575464,172
1620073265.580860,54
1620073265.609558,172
1620073265.625363,54
1620073265.631034,172
1620073265.639967,172
1620073265.655441,54
1620073265.657174,172
1620073265.673953,172
1620073265.693584,54
1620073265.697320,172
1620073265.730239,172
1620073265.739321,172
1620073265.746333,54
1620073265.754663,172
1620073265.768953,54
1620073265.795005,172
1620073265.804776,172
1620073265.821791,54
1620073265.828179,172
1620073265.836801,172
1620073265.851834,54
1620073265.868359,172
1620073265.908219,172
1620073265.908219,172
1620073265.917631,172
1620073265.927226,54
1620073265.933824,172
1620073265.934529,54
1620073265.967368,172
1620073265.982227,172
1620073265.987196,54
1620073265.999844,172
