time,size
1620137441.304291,66
1620137441.344377,66
1620137444.395270,99
1620137444.410684,97
1620137444.412706,66
1620137452.518312,77
1620137452.563648,77
1620137452.577280,66
1620137460.655696,77
1620137460.658450,66
1620137461.954722,100
1620137461.963266,100
1620137461.983849,54
1620137483.523979,77
1620137483.561576,77
1620137483.570610,66
1620137491.955389,100
1620137491.967398,100
1620137491.987205,54
1620137501.320469,66
1620137501.331923,66
1620137501.538383,98
1620137502.540109,98
1620137503.541847,98
1620137504.542961,98
1620137505.546476,98
1620137506.553184,98
1620137507.549417,98
1620137508.552794,98
1620137509.550941,98
1620137510.552237,98
1620137511.579626,89
1620137511.597075,153
1620137511.636873,74
1620137511.650342,74
1620137511.660122,66
1620137511.660122,256
1620137511.673129,66
1620137511.673275,530
1620137511.673420,99
1620137511.677157,66
1620137511.677157,66
1620137514.467317,77
1620137514.503986,77
1620137514.506404,66
1620137521.955862,100
1620137521.984164,100
1620137521.997800,54
1620137535.408794,99
1620137535.423482,97
1620137535.426180,66
1620137545.460894,77
1620137545.504540,77
1620137545.510259,66
1620137551.956599,100
1620137551.969609,100
1620137551.986527,54
1620137568.065352,100
1620137568.084202,54
1620137568.084362,100
1620137568.329755,100
1620137568.572347,54
1620137568.579655,100
1620137568.588366,66
1620137576.456993,77
1620137576.496152,77
1620137576.497936,66
1620137580.667239,77
1620137580.677236,66
1620137581.956215,100
1620137581.961768,54
1620137581.961768,100
1620137582.020033,54
1620137607.434047,77
1620137607.475896,77
1620137607.479697,66
1620137609.841944,74
1620137609.856097,90
1620137609.874525,74
1620137609.893188,66
1620137609.910580,54
1620137609.928390,267
1620137609.931519,54
1620137609.945930,54
1620137609.947936,1514
1620137609.947959,1514
1620137609.947974,1514
1620137609.947988,185
1620137609.963306,54
1620137609.963306,54
1620137609.963306,54
1620137609.963306,54
1620137609.970580,185
1620137609.972377,66
1620137610.093605,180
1620137610.112326,105
1620137610.115116,1354
1620137610.152467,944
1620137610.199884,54
1620137610.370306,79
1620137610.383636,174
1620137610.388110,74
1620137610.398634,74
1620137610.402333,66
1620137610.412296,243
1620137610.420598,66
1620137610.421792,1494
1620137610.421936,1494
1620137610.422018,1494
1620137610.423265,1091
1620137610.424533,66
1620137610.425583,66
1620137610.427215,66
1620137610.427215,66
1620137610.477276,192
1620137610.488663,66
1620137610.491472,236
1620137610.491571,135
1620137610.491727,205
1620137610.493252,66
1620137610.493252,66
1620137610.503132,66
1620137610.503160,104
1620137610.506582,657
1620137610.518657,66
1620137610.550717,66
1620137610.635938,431
1620137610.640361,66
1620137611.956780,100
1620137611.964723,100
1620137611.977688,54
1620137612.748299,88
