word,start_time,end_time
84ebea2e8b,1620137449.4371326,1620137452.2253985
515b46a6c5,1620137453.5817726,1620137462.407339
ad27cb8c35,1620137463.7261941,1620137467.0403109
1b70013626,1620137468.3609183,1620137471.0740628
73842742e5,1620137472.4032583,1620137475.2186866
653319724b,1620137476.548122,1620137478.9588964
0f0c8a58ae,1620137480.2953846,1620137485.4615455
47c3047cbc,1620137486.7914143,1620137489.1532598
7712f53f87,1620137490.486821,1620137493.8500667
712ea7fe63,1620137495.188549,1620137498.7549746
37756aede8,1620137500.088688,1620137502.4988306
84922aab17,1620137503.8168807,1620137506.2810695
f95abba2de,1620137507.600933,1620137511.9687119
bd913503d3,1620137513.3075247,1620137516.3190336
ba1d2707a7,1620137517.6584537,1620137519.6189914
de2b18e3fd,1620137520.966924,1620137528.4902492
a184436a36,1620137529.820331,1620137532.9829464
0b3586204b,1620137534.3169332,1620137537.7813244
35cbda6625,1620137539.1005423,1620137542.8162224
73326bb4be,1620137544.1547077,1620137550.678033
d1dcdf0d82,1620137552.0113971,1620137554.974629
e090813f28,1620137556.279709,1620137559.1402338
9785447169,1620137560.4910822,1620137567.5162146
41ae58fa58,1620137568.8601606,1620137575.8335598
407d4d85bd,1620137577.1487613,1620137580.1606863
e1759233a1,1620137581.4933803,1620137584.004782
67081cc49e,1620137585.3424838,1620137588.1045196
95d6d136ff,1620137589.4201581,1620137592.1817162
18f9a906da,1620137593.5349216,1620137601.8648338
66fd7e6e9c,1620137603.1865048,1620137605.2976775
95f032de26,1620137606.6291292,1620137609.741126
e6a81d4152,1620137611.0636327,1620137612.7741935
020edb8b63,1620137614.083106,1620137619.0492435
f612ef1bb1,1620137620.379558,1620137623.243064
4dc0a346ab,1620137624.5784066,1620137630.7018073
980649bab4,1620137632.0372677,1620137635.452432
c08fcb08c2,1620137636.7615657,1620137638.7713892
856fb10446,1620137640.1014702,1620137644.6188893
e80dc9e1ec,1620137645.9527826,1620137649.0175855
dd9020aba0,1620137650.3184135,1620137652.0790398
4c94a00912,1620137653.4303617,1620137660.2055373
6371cce0d9,1620137661.5068154,1620137664.6692207
17d63ea9b7,1620137666.0102885,1620137667.6705196
f8a411722f,1620137668.9992175,1620137671.5629666
8df1d046ed,1620137672.9114654,1620137682.6402714
6b06989b57,1620137683.9732041,1620137686.3837304
63db647c46,1620137687.7283628,1620137690.639818
079a9498f7,1620137691.9876027,1620137696.7569487
052bb4e141,1620137698.088406,1620137701.5543747
9527904f4e,1620137702.8912997,1620137708.9596376
30121b636e,1620137710.2807608,1620137714.698066
68d372b0f1,1620137715.9992,1620137719.0613487
a914623ca1,1620137720.3975723,1620137723.5174155
e268dd76b2,1620137724.8486643,1620137726.607886
d463aa1315,1620137727.9166245,1620137731.6312854
5f8508af25,1620137732.9681296,1620137739.33832
936ce17757,1620137740.6673062,1620137743.6305435
8d38c49e56,1620137744.9387455,1620137747.650464
d75af91244,1620137748.9696233,1620137753.6353893
49d202b1ea,1620137754.9683344,1620137758.0815504
96cd6e9967,1620137759.3926558,1620137761.7046506
b40dadecfd,1620137763.031304,1620137765.5939922
e27ba27d0b,1620137766.9024076,1620137769.2628138
3cfd78bae2,1620137770.5999238,1620137776.5198236
26fc745ea6,1620137777.834561,1620137779.8941798
f6bce55958,1620137781.228687,1620137783.7897663
a9f8835ec2,1620137785.1070642,1620137788.0687094
7d752b22ff,1620137789.4005814,1620137794.419213
