time,size
1620104285.080306,164
1620104285.084126,164
1620104285.129950,54
1620104290.085912,164
1620104290.090876,164
1620104290.132040,54
1620104295.052532,98
1620104295.098457,164
1620104295.103216,164
1620104295.145744,54
1620104296.089200,98
1620104297.089915,98
1620104298.088564,98
1620104299.092735,98
1620104300.088934,98
1620104300.117732,164
1620104300.122762,164
1620104300.163718,54
1620104301.088795,98
1620104301.562352,66
1620104301.582094,66
1620104302.088965,98
1620104303.090412,98
1620104304.088275,98
1620104304.918575,66
1620104304.934834,66
1620104305.107861,98
1620104305.127357,98
1620104305.130683,164
1620104305.136204,164
1620104305.176825,54
1620104306.132146,98
1620104306.153910,98
1620104306.158172,74
1620104306.173648,90
1620104306.177851,74
1620104306.199899,102
1620104310.149851,164
1620104310.155510,164
1620104310.197084,54
1620104315.166858,164
1620104315.172434,164
1620104315.214518,54
1620104316.242611,71
1620104320.178281,164
1620104320.183834,164
1620104320.239727,54
1620104325.194972,164
1620104325.200143,164
1620104325.242071,54
1620104327.758261,66
1620104327.774956,66
1620104330.212918,164
1620104330.216592,164
1620104330.259716,54
1620104331.474562,93
1620104331.508948,66
1620104331.511887,93
1620104331.514177,66
1620104333.403912,78
1620104333.403912,78
1620104335.226790,164
1620104335.232689,164
1620104335.274929,54
1620104340.236611,164
1620104340.240108,164
1620104340.282362,54
1620104342.742239,360
1620104342.764400,149
1620104342.767771,66
1620104345.242760,164
1620104345.388841,164
1620104345.429723,54
1620104350.037097,66
1620104350.064341,66
1620104350.404894,164
1620104350.411519,164
1620104350.466839,54
1620104355.425636,164
1620104355.428789,164
1620104355.472029,54
1620104360.436808,164
1620104360.442481,164
1620104360.483369,54
1620104365.450859,164
1620104365.454688,164
1620104365.496311,54
1620104368.495541,98
1620104369.500067,98
1620104370.457904,164
1620104370.461018,164
1620104370.495510,98
1620104370.504530,54
1620104371.499892,98
1620104372.497133,98
1620104373.501794,98
1620104374.496897,98
1620104375.476587,164
1620104375.482204,164
1620104375.502095,98
1620104375.525721,54
1620104376.267542,71
1620104376.496167,98
1620104376.595666,66
1620104376.613458,66
1620104377.497031,98
1620104378.496061,98
1620104378.533786,98
1620104378.554533,98
1620104379.548189,98
1620104379.576835,98
1620104379.581975,74
1620104379.606435,90
1620104379.609225,74
1620104379.634063,102
1620104380.487284,164
1620104380.491678,164
1620104380.534009,54
1620104385.499735,164
1620104385.505386,164
1620104385.546805,54
1620104387.059382,79
1620104387.796956,66
1620104387.813501,66
1620104390.521092,164
1620104390.527463,164
1620104390.567527,54
1620104393.405164,78
1620104393.405164,78
1620104395.159649,66
1620104395.177935,66
1620104395.534925,164
1620104395.540683,164
1620104395.580337,54
1620104400.553081,164
1620104400.557258,164
1620104400.599608,54
1620104402.783976,360
1620104402.807513,168
1620104402.807571,66
1620104402.812504,66
1620104402.812504,66
1620104402.836784,66
1620104405.559385,164
1620104405.639439,164
1620104405.684278,54
1620104410.646620,164
1620104410.650184,164
1620104410.693201,54
1620104415.657860,164
1620104415.664802,164
1620104415.720388,54
1620104420.665925,164
1620104420.671744,164
1620104420.727155,54
1620104421.718619,66
1620104421.739828,66
1620104425.687544,164
1620104425.694842,164
1620104425.749723,54
1620104430.710529,164
1620104430.714729,164
1620104430.756719,54
1620104434.406861,75
1620104434.431922,139
1620104434.435176,75
1620104434.460036,187
1620104434.463317,90
1620104434.493082,90
1620104435.717314,164
1620104435.720005,164
1620104435.764530,54
1620104436.302532,71
1620104440.276217,66
1620104440.299168,66
1620104440.726652,164
1620104440.732769,164
1620104440.787707,54
1620104442.003907,98
1620104443.039978,98
1620104444.035604,98
1620104445.038102,98
1620104445.747430,164
1620104445.750289,164
1620104445.794374,54
1620104446.035922,98
1620104447.037647,98
1620104448.035117,98
1620104449.038797,98
1620104450.037849,98
1620104450.759588,164
1620104450.764602,164
1620104450.806130,54
1620104451.068068,98
1620104451.523728,93
1620104451.552891,66
1620104451.558569,93
1620104451.560621,66
1620104452.053995,98
1620104452.075810,98
1620104453.086670,98
1620104453.106255,98
1620104453.111644,74
1620104453.134041,90
1620104453.136400,74
1620104453.158201,102
1620104453.454157,78
1620104453.454157,78
1620104455.778045,164
1620104455.803015,164
1620104455.856345,54
1620104460.816046,164
1620104460.820798,164
1620104460.863079,54
1620104462.825312,89
1620104462.944538,105
