word,start_time,end_time
the,1620075782.7107046,1620075783.5346437
hey_alexa,1620075785.0965238,1620075786.4523919
of,1620075787.9866045,1620075788.8417196
and,1620075790.3703432,1620075791.2253916
to,1620075792.7792916,1620075793.4840765
a,1620075795.0379992,1620075795.742856
in,1620075797.2977486,1620075798.0523558
for,1620075799.60224,1620075800.457429
is,1620075801.990801,1620075802.795791
on,1620075804.3487678,1620075805.2035003
that,1620075806.7471273,1620075807.5516546
by,1620075809.110171,1620075810.0157108
this,1620075811.5519667,1620075812.5573335
with,1620075814.1097171,1620075814.86482
i,1620075816.4199712,1620075817.2247462
you,1620075818.7576997,1620075819.662796
it,1620075821.2094448,1620075821.8642726
not,1620075823.4032166,1620075824.308519
or,1620075825.866915,1620075826.571479
be,1620075828.1306016,1620075828.9858775
are,1620075830.5230722,1620075831.2275968
from,1620075832.7803407,1620075833.7355402
at,1620075835.2877066,1620075836.0430098
as,1620075837.598932,1620075838.5036922
your,1620075840.0638428,1620075841.020223
all,1620075842.5758185,1620075843.3303576
have,1620075844.8803062,1620075845.6855898
new,1620075847.236891,1620075848.142133
more,1620075849.6810522,1620075850.4862344
an,1620075852.0289676,1620075852.8338823
was,1620075854.375252,1620075855.4307694
we,1620075856.9927118,1620075857.8480785
will,1620075859.3796818,1620075860.184579
home,1620075861.719107,1620075862.6243355
can,1620075864.1570873,1620075865.0119736
us,1620075866.5498405,1620075867.3549533
about,1620075868.9163628,1620075869.9215062
if,1620075871.4782696,1620075872.1828055
page,1620075873.732161,1620075874.6376727
my,1620075876.1923404,1620075877.0474567
has,1620075878.5848615,1620075879.5900562
search,1620075881.1369662,1620075882.1923013
free,1620075883.7203803,1620075884.6254995
but,1620075886.1774654,1620075887.0327468
our,1620075888.590267,1620075889.345166
one,1620075890.8959894,1620075891.8510046
other,1620075893.3916605,1620075894.1463695
do,1620075895.68026,1620075896.5353487
no,1620075898.098021,1620075898.9529216
information,1620075900.5082402,1620075901.914728
time,1620075903.4689643,1620075904.3247495
they,1620075905.8654563,1620075906.670143
hey_alexa,1620075908.2213168,1620075909.577705
site,1620075911.1341264,1620075912.0902147
he,1620075913.6455135,1620075914.450102
up,1620075915.9825974,1620075916.6872137
may,1620075918.2247615,1620075919.1302657
what,1620075920.671818,1620075921.4770224
which,1620075923.0170557,1620075923.8720582
their,1620075925.4282753,1620075926.2829146
news,1620075927.822942,1620075928.9285262
out,1620075930.4897275,1620075931.2958612
use,1620075932.8501885,1620075933.8550992
any,1620075935.405129,1620075936.2098453
there,1620075937.7514794,1620075938.6067696
see,1620075940.1585925,1620075941.114539
only,1620075942.6538672,1620075943.5593963
so,1620075945.1079388,1620075946.0134163
his,1620075947.5477662,1620075948.5039241
when,1620075950.0566916,1620075950.9127617
contact,1620075952.4507759,1620075953.4555018
here,1620075954.9983916,1620075955.8548496
business,1620075957.3889275,1620075958.5957172
who,1620075960.1530097,1620075960.9079533
web,1620075962.445039,1620075963.3002486
also,1620075964.8290706,1620075965.834409
now,1620075967.3863635,1620075968.292644
help,1620075969.8485594,1620075970.7032456
get,1620075972.2477083,1620075973.1037815
pm,1620075974.660275,1620075975.5660799
view,1620075977.1228347,1620075977.9777105
online,1620075979.5096743,1620075980.5648324
c,1620075982.1192539,1620075983.0743775
e,1620075984.6290345,1620075985.3837395
first,1620075986.921156,1620075987.9765522
am,1620075989.53139,1620075990.3873794
been,1620075991.9253044,1620075992.8814049
would,1620075994.4386156,1620075995.2443042
how,1620075996.800525,1620075997.6063738
were,1620075999.1635828,1620075999.968949
me,1620076001.5254335,1620076002.3312232
s,1620076003.8887494,1620076004.7436328
services,1620076006.2832608,1620076007.5889857
some,1620076009.1445,1620076010.050781
these,1620076011.6053102,1620076012.6106539
click,1620076014.1472025,1620076014.9522266
its,1620076016.4980729,1620076017.3033967
like,1620076018.8429706,1620076019.7484012
service,1620076021.2909184,1620076022.4466321
x,1620076023.9782832,1620076024.883472
than,1620076026.4302666,1620076027.4858525
find,1620076029.0474565,1620076030.0040722
price,1620076031.559884,1620076032.6149952
hey_siri,1620076034.1699862,1620076035.4271564
date,1620076036.979403,1620076037.9354289
back,1620076039.4970677,1620076040.3523266
top,1620076041.8931303,1620076042.6981773
people,1620076044.2490208,1620076045.154153
had,1620076046.7016795,1620076047.5567992
list,1620076049.1106532,1620076050.015893
name,1620076051.5680509,1620076052.523375
just,1620076054.0794616,1620076055.034547
over,1620076056.5686803,1620076057.3734894
state,1620076058.9154718,1620076059.9211175
year,1620076061.4708343,1620076062.2260764
day,1620076063.757074,1620076064.6120496
into,1620076066.1400943,1620076067.0451856
email,1620076068.5965645,1620076069.5515115
two,1620076071.09104,1620076071.8463204
health,1620076073.400302,1620076074.4054308
n,1620076075.9608793,1620076076.7653208
world,1620076078.3238573,1620076079.2797296
re,1620076080.8114808,1620076081.6657703
next,1620076083.2258232,1620076084.2306092
used,1620076085.7638197,1620076086.7686968
go,1620076088.3273816,1620076089.1832404
b,1620076090.7144809,1620076091.5699067
work,1620076093.12599,1620076094.0324314
last,1620076095.5704455,1620076096.6273377
most,1620076098.1867142,1620076099.2433994
products,1620076100.8055773,1620076101.9622204
music,1620076103.497823,1620076104.554572
buy,1620076106.1145303,1620076107.07085
data,1620076108.6343782,1620076109.6404462
make,1620076111.2007377,1620076112.056554
them,1620076113.6069524,1620076114.5136595
should,1620076116.0677953,1620076116.873813
product,1620076118.4202893,1620076119.4262755
system,1620076120.9822404,1620076122.0381866
post,1620076123.5877016,1620076124.493997
her,1620076126.0469873,1620076126.8020794
city,1620076128.3294585,1620076129.3348925
t,1620076130.8811123,1620076131.6862524
add,1620076133.2482057,1620076134.0528076
policy,1620076135.6074202,1620076136.7133236
number,1620076138.2517607,1620076139.2072644
such,1620076140.7397907,1620076141.74516
please,1620076143.291868,1620076144.297301
available,1620076145.8457341,1620076146.950734
copyright,1620076148.4871788,1620076149.644541
support,1620076151.2049859,1620076152.2601914
message,1620076153.8110013,1620076154.9167933
after,1620076156.4782405,1620076157.4343927
best,1620076158.989786,1620076160.0461645
ok_google,1620076161.5820436,1620076163.0386915
software,1620076174.5921335,1620076175.8497703
then,1620076177.4018319,1620076178.307068
jan,1620076179.86912,1620076180.8742838
good,1620076182.4226172,1620076183.227441
video,1620076184.7800956,1620076185.7852767
well,1620076187.3402023,1620076188.1452427
d,1620076189.7005656,1620076190.6056936
where,1620076192.1701407,1620076193.0249531
info,1620076194.5796406,1620076195.534836
rights,1620076197.0755603,1620076198.182194
public,1620076199.72959,1620076200.6851392
books,1620076202.2488248,1620076203.3038254
high,1620076204.857356,1620076205.7128835
