time,size
1620075776.014216,164
1620075776.017445,164
1620075776.060639,54
1620075781.026459,164
1620075781.030627,164
1620075781.073574,54
1620075786.038724,164
1620075786.041489,164
1620075786.085694,54
1620075791.045848,164
1620075791.049939,164
1620075791.092859,54
1620075792.560862,66
1620075792.610075,66
1620075794.080528,66
1620075794.143477,66
1620075796.056680,164
1620075796.062108,164
1620075796.117507,54
1620075801.071015,164
1620075801.074009,164
1620075801.117463,54
1620075803.013350,98
1620075804.040415,98
1620075805.040133,98
1620075806.039798,98
1620075806.084467,164
1620075806.089526,164
1620075806.130734,54
1620075807.040821,98
1620075807.168297,66
1620075807.210340,66
1620075807.440806,66
1620075807.509863,66
1620075808.044578,98
1620075808.364420,71
1620075809.039997,98
1620075809.076340,66
1620075809.076340,360
1620075809.097992,66
1620075809.104214,149
1620075809.108566,66
1620075809.841321,66
1620075809.889041,66
1620075810.041247,98
1620075811.041309,98
1620075811.092885,164
1620075811.098036,164
1620075811.143560,54
1620075812.040780,98
1620075813.055838,98
1620075813.120471,98
1620075814.072153,98
1620075814.147409,98
1620075814.152893,74
1620075814.250189,90
1620075814.254784,74
1620075814.358211,102
1620075816.099398,164
1620075816.104399,164
1620075816.149464,54
1620075817.744427,217
1620075817.756203,250
1620075817.796601,54
1620075822.756942,164
1620075822.762786,164
1620075822.803623,54
1620075827.768167,164
1620075827.772999,164
1620075827.815048,54
1620075830.428401,78
1620075830.432669,78
1620075832.780910,164
1620075832.787101,164
1620075832.841602,54
1620075837.317588,92
1620075837.343735,66
1620075837.352384,92
1620075837.356307,66
1620075837.788787,164
1620075837.793795,164
1620075837.849683,54
1620075842.794874,164
1620075842.800440,164
1620075842.847959,54
1620075847.813750,164
1620075847.818879,164
1620075847.860977,54
1620075852.824050,164
1620075852.827954,164
1620075852.870493,54
1620075854.117889,66
1620075854.179381,66
1620075854.959035,66
1620075854.997111,66
1620075857.830074,164
1620075857.836223,164
1620075857.890885,54
1620075862.847788,164
1620075862.852609,164
1620075862.894129,54
1620075867.868922,164
1620075867.871858,164
1620075867.917139,54
1620075868.380127,71
1620075869.126193,360
1620075869.185759,149
1620075869.188724,66
1620075872.884876,164
1620075872.888888,164
1620075872.932634,54
1620075876.501601,98
1620075877.519570,98
1620075877.898147,164
1620075877.901514,164
1620075877.943665,54
1620075878.518000,98
1620075879.520812,98
1620075880.519205,98
1620075881.520807,98
1620075882.399004,66
1620075882.502970,66
1620075882.521117,98
1620075882.909560,164
1620075882.914970,164
1620075882.970983,54
1620075883.520778,98
1620075884.545069,98
1620075885.520498,98
1620075886.536083,98
1620075886.592640,98
1620075887.651213,98
1620075887.699888,98
1620075887.706081,74
1620075887.761179,90
1620075887.812195,74
1620075887.867398,102
1620075887.929782,164
1620075887.950013,164
1620075887.992011,54
1620075890.446531,78
1620075890.446531,78
1620075892.956498,164
1620075892.961930,164
1620075893.002984,54
1620075897.977588,164
1620075897.985928,164
1620075898.039744,54
1620075900.079453,66
1620075900.226501,66
1620075902.986542,164
1620075902.994853,164
1620075903.045155,54
1620075908.006012,164
1620075908.010650,164
1620075908.051945,54
1620075913.016070,164
1620075913.021764,164
1620075913.062549,54
1620075914.238890,66
1620075914.287101,66
1620075918.028596,164
1620075918.035635,164
1620075918.090248,54
1620075923.050195,164
1620075923.056279,164
1620075923.111659,54
1620075927.499480,66
1620075927.558868,66
1620075928.059496,164
1620075928.065109,164
1620075928.106186,54
1620075928.400077,71
1620075929.203997,360
1620075929.246382,149
1620075929.251550,66
1620075933.074418,164
1620075933.081827,164
1620075933.136913,54
1620075938.093487,164
1620075938.097626,164
1620075938.138890,54
1620075943.113408,164
1620075943.117089,164
1620075943.160234,54
1620075945.228885,66
1620075945.306240,66
1620075948.126803,164
1620075948.160720,164
1620075948.204191,54
1620075949.754504,98
1620075950.438610,78
1620075950.438610,78
1620075950.769339,98
1620075951.767341,98
1620075952.768860,98
1620075953.162668,164
1620075953.165311,164
1620075953.210024,54
1620075953.767611,98
1620075954.768502,98
1620075955.767553,98
1620075956.767868,98
1620075957.357493,92
1620075957.459328,66
1620075957.768478,98
1620075958.176023,164
1620075958.181590,164
1620075958.223244,54
1620075958.712660,92
1620075958.717617,66
1620075958.770459,98
1620075959.800768,98
1620075959.903521,98
1620075960.818865,98
1620075960.914381,98
1620075960.921612,74
1620075961.009878,90
1620075961.015743,74
1620075961.099854,102
1620075963.185783,164
1620075963.192900,164
1620075963.239412,54
1620075966.656947,78
1620075966.752536,334
1620075966.782664,1392
1620075966.889744,1392
1620075966.908614,1392
1620075967.031365,1392
1620075967.037200,75
1620075967.040224,1392
1620075967.042535,524
1620075967.139630,67
1620075967.167638,1392
1620075967.167722,1023
