word,start_time,end_time
the,1620018765.7555346,1620018766.6803286
ok_google,1620018768.245829,1620018769.852162
of,1620018781.3978379,1620018782.1550417
and,1620018783.7085986,1620018784.6642413
to,1620018786.2247982,1620018787.129803
a,1620018788.6836524,1620018789.4884412
in,1620018791.0436313,1620018791.7983248
for,1620018793.3547845,1620018794.3101358
is,1620018795.8503256,1620018796.8064175
on,1620018798.3436265,1620018799.1494298
that,1620018800.6945617,1620018801.650548
by,1620018803.210143,1620018804.0652912
this,1620018805.616503,1620018806.6719499
with,1620018808.2221837,1620018809.0271025
i,1620018810.577728,1620018811.332166
you,1620018812.8662481,1620018813.7223272
it,1620018815.2542446,1620018816.0599854
not,1620018817.6136525,1620018818.6684616
or,1620018820.2026813,1620018821.007376
be,1620018822.558085,1620018823.4139087
are,1620018824.962548,1620018825.7170484
from,1620018827.272714,1620018828.2272818
at,1620018829.7795382,1620018830.6849291
as,1620018832.2434914,1620018833.0979607
your,1620018834.6478555,1620018835.60393
all,1620018837.148125,1620018837.954141
have,1620018839.5020936,1620018840.3566825
new,1620018841.9156792,1620018842.8222134
more,1620018844.3855555,1620018845.2912757
an,1620018846.8531253,1620018847.6085575
was,1620018849.1610336,1620018850.21675
we,1620018851.7771459,1620018852.6840382
will,1620018854.247516,1620018855.1536946
home,1620018856.6888711,1620018857.5949886
can,1620018859.1536734,1620018860.0093071
us,1620018861.5622902,1620018862.517987
about,1620018864.076799,1620018865.183144
if,1620018866.744421,1620018867.600142
page,1620018869.1408274,1620018870.2472224
my,1620018871.8050234,1620018872.7112927
has,1620018874.2707622,1620018875.3266048
search,1620018876.8942976,1620018878.1515207
free,1620018879.709284,1620018880.7157128
but,1620018882.2646155,1620018883.2209802
our,1620018884.7567494,1620018885.6114388
one,1620018887.1687014,1620018888.0748491
other,1620018889.6242344,1620018890.4309907
do,1620018891.9777794,1620018892.8325403
no,1620018894.3942363,1620018895.249907
information,1620018896.8022163,1620018898.2101674
time,1620018899.769358,1620018900.775198
they,1620018902.3321226,1620018903.2368004
ok_google,1620018904.7981045,1620018906.4040546
site,1620018918.956019,1620018920.1126215
he,1620018921.6681912,1620018922.4744916
up,1620018924.0230746,1620018924.7775302
may,1620018926.3353362,1620018927.241098
what,1620018928.8026273,1620018929.8083682
which,1620018931.366566,1620018932.4735036
their,1620018934.0119352,1620018934.8666992
news,1620018936.4301424,1620018937.6871405
out,1620018939.2386856,1620018940.1950438
use,1620018941.7605875,1620018942.9170318
any,1620018944.4694564,1620018945.3257024
there,1620018946.8842475,1620018947.739536
see,1620018949.2980428,1620018950.2529204
only,1620018951.7885954,1620018952.8451831
so,1620018954.4056325,1620018955.3607864
his,1620018956.9099224,1620018958.0162063
when,1620018959.552238,1620018960.407256
contact,1620018961.946219,1620018963.2519841
here,1620018964.804655,1620018965.7108648
business,1620018967.2702131,1620018968.5279624
who,1620018970.0830483,1620018970.888342
web,1620018972.4364774,1620018973.2412043
also,1620018974.798981,1620018975.9563527
now,1620018977.492981,1620018978.3975844
help,1620018979.9559581,1620018980.8606577
get,1620018982.416834,1620018983.323095
pm,1620018984.8811667,1620018985.8878152
