time,size
1620018755.343986,164
1620018755.346926,164
1620018755.390192,54
1620018759.331841,66
1620018759.349681,66
1620018760.347639,164
1620018760.350275,164
1620018760.402892,54
1620018764.650222,78
1620018764.650222,78
1620018765.366713,164
1620018765.369457,164
1620018765.413326,54
1620018770.151514,74
1620018770.174057,90
1620018770.194694,1392
1620018770.227315,1392
1620018770.265149,75
1620018770.265867,344
1620018770.274489,1392
1620018770.275658,1392
1620018770.275658,1392
1620018770.281754,1392
1620018770.281754,1392
1620018770.281754,1392
1620018770.281754,1392
1620018770.281754,1392
1620018770.281754,1392
1620018770.281754,1392
1620018770.281754,1392
1620018770.293586,67
1620018770.293664,67
1620018770.295294,1386
1620018770.296373,1392
1620018770.296373,1392
1620018770.296373,1392
1620018770.296373,1392
1620018770.296373,1392
1620018770.296373,1392
1620018770.296373,1392
1620018770.296373,1392
1620018770.296373,1392
1620018770.296373,1392
1620018770.296373,150
1620018770.296373,1392
1620018770.296373,1392
1620018770.296373,1392
1620018770.296373,1392
1620018770.296373,1392
1620018770.296695,1392
1620018770.296695,1392
1620018770.301811,67
1620018770.307038,67
1620018770.307118,67
1620018770.308607,67
1620018770.311995,1392
1620018770.311995,1392
1620018770.311995,1392
1620018770.311995,1392
1620018770.311995,1392
1620018770.311995,1392
1620018770.311995,1392
1620018770.311995,1392
1620018770.311995,1392
1620018770.311995,1392
1620018770.311995,1392
1620018770.311995,1392
1620018770.311995,519
1620018770.311995,1392
1620018770.311995,1392
1620018770.311995,946
1620018770.314235,67
1620018770.316587,67
1620018770.320924,67
1620018770.321020,67
1620018770.323202,67
1620018770.323233,67
1620018770.330789,67
1620018770.330855,67
1620018770.333831,67
1620018770.335629,67
1620018770.339060,67
1620018770.339131,67
1620018770.342982,67
1620018770.345274,79
1620018770.349223,67
1620018770.349283,67
1620018770.351264,67
1620018770.372234,164
1620018770.372278,1392
1620018770.372278,972
1620018770.374927,164
1620018770.378584,67
1620018770.388550,67
1620018770.420095,54
1620018770.435118,1392
1620018770.436733,969
1620018770.455707,67
1620018770.502197,1392
1620018770.502197,962
1620018770.522014,67
1620018770.531393,392
1620018770.531473,87
1620018770.536364,75
1620018770.544759,89
1620018770.565986,1392
1620018770.565986,969
1620018770.569100,1392
1620018770.569215,506
1620018770.575569,75
1620018770.575967,93
1620018770.584185,79
1620018770.587945,75
1620018770.608704,67
1620018770.629176,1186
1620018770.670554,67
1620018770.692427,1392
1620018770.692427,957
1620018770.711215,67
1620018770.755760,1392
1620018770.757362,976
1620018770.773673,67
1620018770.785141,329
1620018770.821657,1392
1620018770.821657,977
1620018770.841759,67
1620018770.873645,270
1620018770.873762,79
1620018770.877595,75
1620018770.878990,161
1620018770.879077,75
1620018770.881763,115
1620018770.881821,75
1620018770.881849,75
1620018770.884737,75
1620018770.887724,1182
1620018770.931564,67
1620018770.947996,1392
1620018770.947996,974
1620018770.960296,211
1620018770.960401,75
1620018770.962995,75
1620018770.966647,67
1620018771.011522,1392
1620018771.011522,990
1620018771.034076,67
1620018771.075822,1392
1620018771.075822,984
1620018771.093581,67
1620018771.141206,1392
1620018771.141206,979
1620018771.158311,67
1620018771.203657,1184
1620018771.245534,67
1620018771.267573,1392
1620018771.267573,962
1620018771.285992,67
1620018771.331472,1392
1620018771.331472,959
1620018771.348482,67
1620018771.395520,1392
1620018771.395780,969
1620018771.412866,67
1620018771.458114,1178
1620018771.498955,67
1620018771.524822,1392
1620018771.526209,970
1620018771.531385,87
1620018771.544815,67
1620018771.581824,75
1620018771.587877,1392
1620018771.587877,977
1620018771.607713,67
1620018771.651097,1392
1620018771.652475,963
1620018771.671660,79
1620018771.696773,67
1620018771.700633,75
1620018771.715441,1392
1620018771.717721,964
1620018771.761876,67
1620018771.778479,1175
1620018771.825633,67
1620018771.842894,1392
1620018771.842894,946
1620018771.873844,67
1620018771.906658,1392
1620018771.907353,968
1620018771.933079,67
1620018771.970448,1392
1620018771.973240,961
1620018772.001609,67
1620018772.033522,1176
1620018772.068342,67
1620018772.098783,1392
1620018772.098960,959
1620018772.126853,67
1620018772.162731,1392
1620018772.163019,963
1620018772.193221,67
1620018772.226712,1392
1620018772.226712,967
1620018772.254436,67
1620018772.290141,1392
1620018772.290141,955
1620018772.319291,67
1620018772.355081,1179
1620018772.376861,67
1620018772.417804,1392
1620018772.417804,953
1620018772.440370,67
1620018772.483254,1392
1620018772.483254,967
1620018772.509763,67
1620018772.533110,87
1620018772.547259,1392
1620018772.547259,962
1620018772.577599,67
1620018772.611149,1189
1620018772.638260,67
1620018772.674485,1392
1620018772.674894,956
1620018772.717502,67
1620018772.739145,1392
1620018772.741159,968
1620018772.770547,79
1620018772.770665,67
1620018772.802024,75
1620018772.803105,1392
1620018772.803105,964
1620018772.828363,67
1620018772.867066,1392
1620018772.867066,960
1620018772.893646,67
1620018772.931498,1173
1620018772.961819,67
1620018772.994560,1392
1620018772.994560,965
1620018773.026448,67
1620018773.058617,1392
1620018773.058904,951
1620018773.088585,67
1620018773.122809,1392
1620018773.123082,966
1620018773.147335,67
1620018773.185596,1184
1620018773.219159,67
1620018773.250182,1392
1620018773.250785,955
1620018773.286941,67
1620018773.314016,1392
1620018773.314685,954
1620018773.353679,67
1620018773.378687,1392
1620018773.378856,971
1620018773.416754,67
1620018773.442440,1392
1620018773.444189,973
1620018773.477684,67
1620018773.506722,1180
1620018773.533965,93
1620018773.570462,1392
1620018773.570462,968
1620018773.598217,67
1620018773.634676,1392
1620018773.634844,977
1620018773.655387,67
1620018773.690467,66
1620018773.698343,1392
1620018773.698471,960
1620018773.715631,66
1620018773.717652,67
1620018773.761567,1189
1620018773.782837,67
1620018773.826487,1392
1620018773.826487,962
1620018773.845265,67
1620018773.890782,1392
1620018773.890924,961
1620018773.910714,67
1620018773.954335,1392
1620018773.954614,973
1620018773.973022,67
1620018774.017835,1392
1620018774.018088,969
1620018774.040586,67
1620018774.081858,1188
1620018774.104773,67
1620018774.146956,1392
1620018774.146956,956
1620018774.166600,67
1620018774.210533,1392
1620018774.211475,987
1620018774.236788,67
1620018774.275519,1392
1620018774.275519,976
1620018774.298133,67
1620018774.338214,1188
1620018774.359255,67
1620018774.402763,1392
1620018774.402907,971
1620018774.426286,67
1620018774.466948,1392
1620018774.466948,974
1620018774.488406,67
1620018774.528609,88
1620018774.533130,1392
1620018774.533130,958
1620018774.555705,67
1620018774.557997,75
1620018774.597758,1392
1620018774.597758,972
1620018774.618209,67
1620018774.660610,1203
1620018774.683960,67
1620018774.727806,1392
1620018774.727806,992
1620018774.749484,67
1620018774.791231,1392
1620018774.791231,992
1620018774.813506,67
1620018774.851618,1392
1620018774.851618,979
1620018774.869016,79
1620018774.869116,79
1620018774.900582,75
1620018774.913309,1190
1620018774.938611,67
1620018774.979012,1392
1620018774.979012,972
1620018775.008437,67
1620018775.043536,1392
1620018775.043536,963
1620018775.066141,67
1620018775.111208,1392
1620018775.111208,966
1620018775.136522,67
1620018775.170878,1392
1620018775.170878,969
1620018775.193494,67
1620018775.234544,1182
1620018775.256931,67
1620018775.298477,1392
1620018775.298792,962
1620018775.320133,67
1620018775.362423,1392
1620018775.362581,963
1620018775.380829,164
1620018775.382600,164
1620018775.387835,67
1620018775.426885,1392
1620018775.426885,976
1620018775.428211,54
1620018775.449675,67
1620018775.489590,1188
1620018775.513172,67
1620018775.529102,89
1620018775.554967,1392
1620018775.554967,963
1620018775.575923,67
1620018775.618842,1392
1620018775.618842,971
1620018775.640594,67
1620018775.682673,1392
1620018775.682673,961
1620018775.707917,67
1620018775.746340,1392
1620018775.746340,964
1620018775.768747,67
1620018775.810847,1195
1620018775.831100,67
1620018775.874892,1392
1620018775.874892,969
1620018775.898161,67
1620018775.938542,1392
1620018775.939066,965
1620018775.958692,67
1620018776.003985,1392
1620018776.003985,984
1620018776.023571,67
1620018776.067180,1185
1620018776.085555,67
1620018776.133480,1392
1620018776.133480,969
1620018776.153112,67
1620018776.194483,1392
1620018776.196208,974
1620018776.219762,67
1620018776.259270,1392
1620018776.259270,990
1620018776.278047,67
1620018776.322706,1392
1620018776.323936,970
1620018776.348282,67
1620018776.388964,1179
1620018776.410786,67
1620018776.452181,1392
1620018776.452181,986
1620018776.473105,67
1620018776.515818,1392
1620018776.515818,977
1620018776.528959,89
1620018776.538617,67
1620018776.540419,75
1620018776.584563,1392
1620018776.584563,966
1620018776.606089,67
1620018776.643782,1187
1620018776.665754,67
1620018776.711834,1392
1620018776.711834,977
1620018776.735586,67
1620018776.770882,1392
1620018776.771141,981
1620018776.793238,67
1620018776.838034,1392
1620018776.838034,969
1620018776.861989,67
1620018776.900909,1392
1620018776.900909,953
1620018776.923689,67
1620018776.961904,1183
1620018776.983016,67
1620018777.033447,1392
1620018777.042165,978
1620018777.051639,79
1620018777.066921,67
1620018777.068495,75
1620018777.092758,1392
1620018777.092758,982
1620018777.120262,67
1620018777.154004,1392
1620018777.154172,984
1620018777.178962,67
1620018777.218151,1191
1620018777.245378,67
1620018777.283386,1392
1620018777.283386,952
1620018777.305912,67
1620018777.346425,1392
1620018777.346632,964
1620018777.369829,67
1620018777.411892,1392
1620018777.411892,958
1620018777.432947,67
1620018777.475332,1392
1620018777.475332,961
1620018777.501391,67
1620018777.528346,88
1620018777.538204,1181
1620018777.561038,67
1620018777.602278,1392
1620018777.602516,965
1620018777.623146,67
1620018777.667099,1392
1620018777.667099,954
1620018777.691869,67
1620018777.730712,1392
1620018777.730913,966
1620018777.753880,67
1620018777.794328,1190
1620018777.827618,67
1620018777.857977,1392
1620018777.857977,963
1620018777.881687,67
1620018777.892497,66
1620018777.910785,66
1620018777.922000,1392
1620018777.922169,960
1620018777.943206,67
1620018777.988659,1392
