word,start_time,end_time
the,1619894618.998177,1619894619.8723605
hey_siri,1619894621.4310503,1619894622.6366272
of,1619894624.195447,1619894624.9508932
and,1619894626.5013447,1619894627.3566902
to,1619894628.913361,1619894629.8184297
a,1619894631.3762965,1619894632.1822536
in,1619894633.7345068,1619894634.5400162
for,1619894636.0955758,1619894637.0006676
is,1619894638.5585122,1619894639.4633834
on,1619894641.0202048,1619894641.825213
that,1619894643.3873959,1619894644.2420611
by,1619894645.7711024,1619894646.7265232
this,1619894648.2857382,1619894649.1918106
with,1619894650.7498991,1619894651.6047468
i,1619894653.1418934,1619894653.94699
you,1619894655.502858,1619894656.3572083
it,1619894657.8870919,1619894658.6417024
not,1619894660.197275,1619894661.052045
or,1619894662.6007297,1619894663.406575
be,1619894664.9515831,1619894665.8067954
are,1619894667.3555937,1619894668.1605794
from,1619894669.7185524,1619894670.6735125
at,1619894672.2173262,1619894673.0220604
as,1619894674.5762203,1619894675.5314121
your,1619894677.0865803,1619894677.9417787
all,1619894679.4901388,1619894680.2949698
have,1619894681.852469,1619894682.7078195
new,1619894684.2363865,1619894685.1412468
more,1619894686.6875207,1619894687.5927036
an,1619894689.1358702,1619894689.9910212
was,1619894691.5493095,1619894692.5545254
we,1619894694.0899267,1619894694.9450705
will,1619894696.4819107,1619894697.3871632
home,1619894698.9289875,1619894699.834273
can,1619894701.3962326,1619894702.3512433
us,1619894703.904028,1619894704.7587008
about,1619894706.3118393,1619894707.2671418
if,1619894708.8165514,1619894709.6218069
page,1619894711.1725526,1619894712.1778789
my,1619894713.7320993,1619894714.5873468
has,1619894716.1322904,1619894717.1880207
search,1619894718.7432823,1619894719.748651
free,1619894721.3020985,1619894722.2074232
but,1619894723.7620173,1619894724.5670867
our,1619894726.0996692,1619894726.854521
one,1619894728.3873062,1619894729.2924037
other,1619894730.85094,1619894731.7061808
do,1619894733.2600372,1619894734.1653326
no,1619894735.7086833,1619894736.613707
information,1619894738.172501,1619894739.4786518
time,1619894741.0237534,1619894741.9291234
they,1619894743.4895408,1619894744.3448284
hey_siri,1619894745.8816276,1619894747.0876145
site,1619894748.648509,1619894749.5533774
he,1619894751.110168,1619894751.9148898
up,1619894753.4680412,1619894754.1726208
