time,size
1619894574.222660,164
1619894574.225585,164
1619894574.268909,54
1619894577.335833,79
1619894579.241258,164
1619894579.246178,164
1619894579.287928,54
1619894581.114743,1198
1619894581.162741,218
1619894581.166370,105
1619894581.171434,75
1619894584.257218,164
1619894584.262282,164
1619894584.303796,54
1619894586.163482,66
1619894586.185646,66
1619894589.279225,164
1619894589.286664,164
1619894589.341316,54
1619894594.293333,164
1619894594.295886,164
1619894594.340153,54
1619894599.041736,98
1619894599.297287,164
1619894599.303151,164
1619894599.358798,54
1619894600.063770,98
1619894601.067178,98
1619894602.063719,98
1619894603.066738,98
1619894604.063551,98
1619894604.103218,89
1619894604.125248,71
1619894604.128698,105
1619894604.132944,74
1619894604.167113,74
1619894604.170480,66
1619894604.170480,360
1619894604.194662,66
1619894604.194763,149
1619894604.197812,66
1619894604.309980,164
1619894604.314586,164
1619894604.356279,54
1619894605.064915,98
1619894606.064486,98
1619894607.067920,98
1619894608.063383,98
1619894609.097543,98
1619894609.133339,98
1619894609.326934,164
1619894609.330804,164
1619894609.354292,79
1619894609.373300,54
1619894610.115346,98
1619894610.140184,98
1619894610.147697,74
1619894610.147697,74
1619894610.170600,90
1619894610.170698,102
1619894612.061723,78
1619894612.061723,78
1619894614.336803,164
1619894614.341373,164
1619894614.383108,54
1619894616.574588,66
1619894616.594385,66
1619894619.343426,164
1619894619.346206,164
1619894619.391951,54
1619894624.354334,164
1619894624.361245,164
1619894624.416377,54
1619894629.363408,164
1619894629.366115,164
1619894629.410064,54
1619894631.297988,66
1619894631.317872,66
1619894634.370895,164
1619894634.374155,164
1619894634.417074,54
1619894639.385593,164
1619894639.389432,164
1619894639.437496,54
1619894644.391036,164
1619894644.394159,164
1619894644.438106,54
1619894649.215199,66
1619894649.237221,66
1619894649.407775,164
1619894649.413670,164
1619894649.454085,54
1619894654.418951,164
1619894654.422415,164
1619894654.465709,54
1619894659.434065,164
1619894659.440705,164
1619894659.495057,54
1619894661.693535,66
1619894661.715160,66
1619894664.137063,71
1619894664.211256,360
1619894664.234950,149
1619894664.237741,66
1619894664.441564,164
1619894664.444682,164
1619894664.487600,54
1619894669.450157,164
1619894669.454258,164
1619894669.495847,54
1619894672.045601,78
1619894672.045601,78
1619894672.351283,98
1619894673.363046,98
1619894673.372947,79
1619894674.364325,98
1619894674.462716,164
1619894674.466735,164
1619894674.508340,54
1619894675.363145,98
1619894676.364030,98
1619894676.414099,66
1619894676.435395,66
1619894677.364361,98
1619894678.363273,98
1619894679.363809,98
1619894679.470938,164
1619894679.475433,164
1619894679.517354,54
1619894680.363245,98
1619894681.363978,98
1619894682.392501,98
1619894682.421657,98
1619894683.414378,98
1619894683.442948,98
1619894683.449066,74
1619894683.449066,74
1619894683.468708,102
1619894683.481044,90
1619894684.485674,164
1619894684.527516,164
1619894684.579834,54
1619894689.544080,164
1619894689.548460,164
1619894689.590713,54
1619894691.625843,92
1619894691.644978,66
1619894691.654111,92
1619894691.732875,66
1619894694.555036,164
1619894694.558860,164
1619894694.602485,54
1619894699.574637,164
1619894699.611758,164
1619894699.652528,54
1619894704.624332,164
1619894704.628310,164
1619894704.671243,54
1619894709.254182,66
1619894709.276080,66
1619894709.637771,164
1619894709.641618,164
1619894709.684016,54
1619894714.645083,164
1619894714.650763,164
1619894714.692098,54
1619894719.651742,164
1619894719.655245,164
1619894719.697721,54
1619894721.533470,66
1619894721.553420,66
1619894724.154376,71
1619894724.253881,360
1619894724.275382,149
1619894724.280040,66
1619894724.658210,164
1619894724.663733,164
1619894724.705284,54
1619894729.667821,164
1619894729.671670,164
1619894729.713999,54
1619894732.045453,78
1619894732.047723,78
1619894734.682635,164
1619894734.688005,164
1619894734.729536,54
1619894736.733426,66
1619894736.752230,66
1619894739.699805,164
1619894739.703520,164
1619894739.746646,54
1619894744.719250,164
1619894744.724981,164
1619894744.766076,54
1619894745.563526,98
1619894746.564960,98
1619894747.563216,98
1619894748.564047,98
1619894749.561968,98
1619894749.737566,164
1619894749.742383,164
1619894749.783580,54
1619894750.585840,98
1619894751.680888,98
1619894752.593169,98
1619894753.562970,98
1619894754.618577,98
1619894754.745763,164
1619894754.752370,164
1619894754.807384,54
1619894755.666515,98
1619894755.666515,98
1619894755.695374,98
1619894756.644923,98
1619894756.674755,98
1619894756.681717,74
1619894756.685850,74
1619894756.700496,90
1619894756.712174,102
1619894759.753403,164
1619894759.760723,164
1619894759.814987,54
1619894764.765633,164
1619894764.771718,164
1619894764.811744,54
1619894766.654125,66
1619894766.674014,66
1619894769.294299,66
1619894769.317081,66
1619894769.775338,164
1619894769.780527,164
1619894769.820936,54
1619894774.790805,164
1619894774.794534,164
1619894774.836774,54
1619894779.803625,164
1619894779.807016,164
1619894779.850531,54
1619894781.852677,66
1619894781.875826,66
1619894784.173170,71
1619894784.294553,360
1619894784.336394,149
1619894784.341119,66
1619894784.807797,164
1619894784.812339,164
1619894784.853595,54
1619894789.817057,164
1619894789.821701,164
1619894789.864393,54
1619894792.054601,78
1619894792.054601,78
1619894794.836928,164
1619894794.841835,164
1619894794.883462,54
1619894799.842446,164
1619894799.845904,164
1619894799.895140,54
1619894801.401758,79
1619894804.855744,164
1619894804.860565,164
1619894804.901964,54
1619894809.866191,164
1619894809.869895,164
1619894809.913002,54
1619894811.681800,92
1619894811.707055,66
1619894811.710467,92
1619894811.714705,66
1619894811.951736,66
1619894811.971978,66
1619894814.874946,164
1619894814.879145,164
1619894814.922727,54
1619894818.698089,98
1619894819.722502,98
1619894819.888206,164
1619894819.893399,164
1619894819.949405,54
1619894820.722074,98
1619894821.722416,98
1619894822.722280,98
1619894823.722324,98
1619894824.722104,98
1619894824.894996,164
1619894824.900634,164
1619894824.942558,54
1619894825.721842,98
1619894826.721685,98
1619894827.723201,98
1619894828.750992,98
1619894828.777253,98
1619894829.372179,66
1619894829.393148,66
1619894829.773774,98
1619894829.803056,98
1619894829.808333,74
1619894829.811531,74
1619894829.823674,90
1619894829.833429,102
1619894829.904273,164
1619894829.942478,164
1619894829.982305,54
1619894834.956648,164
1619894834.960827,164
1619894835.003012,54
1619894839.966160,164
1619894839.969683,164
1619894840.012982,54
1619894844.183481,71
1619894844.361000,360
1619894844.387645,149
1619894844.391197,66
1619894844.976033,164
1619894844.980630,164
1619894845.022947,54
1619894849.992658,164
1619894849.995727,164
1619894850.039213,54
1619894852.064214,78
1619894852.065851,78
1619894855.002671,164
1619894855.006675,164
1619894855.049260,54
1619894856.731046,66
1619894856.752235,66
1619894856.972041,66
1619894856.989928,66
1619894860.013026,164
1619894860.017688,164
1619894860.059780,54
1619894862.967504,78
1619894862.997046,334
1619894863.028063,1392
1619894863.055307,1392
1619894863.076775,1392
1619894863.110987,1392
1619894863.117813,75
1619894863.121756,1392
1619894863.124663,525
1619894863.147214,67
1619894863.192073,1392
1619894863.192184,1023
1619894863.192218,75
1619894863.196921,75
1619894863.241032,75
1619894863.406157,79
1619894863.426246,95
1619894863.441360,1392
1619894863.473061,1392
1619894863.478356,75
1619894863.481864,1392
1619894863.481864,1392
1619894863.481864,1039
