word,start_time,end_time
84ebea2e8b,1620129331.4399152,1620129334.2192738
515b46a6c5,1620129335.7882738,1620129344.6625133
ad27cb8c35,1620129346.217714,1620129349.5304358
1b70013626,1620129351.0831892,1620129353.7938707
73842742e5,1620129355.3535702,1620129358.1633668
653319724b,1620129359.7095807,1620129362.1197488
0f0c8a58ae,1620129363.6939259,1620129368.8626776
47c3047cbc,1620129370.417055,1620129372.8260639
7712f53f87,1620129374.3799045,1620129377.7423227
712ea7fe63,1620129379.3139079,1620129382.8755088
37756aede8,1620129384.443115,1620129386.8533823
84922aab17,1620129388.419517,1620129390.8781424
f95abba2de,1620129392.450789,1620129396.8645604
bd913503d3,1620129398.4319854,1620129401.4436793
ba1d2707a7,1620129402.9788206,1620129404.9375682
de2b18e3fd,1620129406.5250003,1620129414.0500102
a184436a36,1620129415.6154609,1620129418.72689
0b3586204b,1620129420.2991292,1620129423.762133
35cbda6625,1620129425.3225057,1620129429.034827
73326bb4be,1620129430.6071062,1620129437.177607
d1dcdf0d82,1620129438.7267685,1620129441.6896343
e090813f28,1620129443.2386565,1620129446.1010218
9785447169,1620129447.6820352,1620129454.7031827
41ae58fa58,1620129456.2879767,1620129463.25998
407d4d85bd,1620129464.8334157,1620129467.8444767
e1759233a1,1620129469.38054,1620129471.8911338
67081cc49e,1620129473.4623752,1620129476.2218478
95d6d136ff,1620129477.7771251,1620129480.4887857
18f9a906da,1620129482.0764904,1620129490.4001312
66fd7e6e9c,1620129491.9683971,1620129494.076644
95f032de26,1620129495.6314065,1620129498.742429
e6a81d4152,1620129500.3006446,1620129502.0088096
020edb8b63,1620129503.5602376,1620129508.5267181
f612ef1bb1,1620129510.0935307,1620129512.9533892
4dc0a346ab,1620129514.5368931,1620129520.6567528
980649bab4,1620129522.2259002,1620129525.6371083
c08fcb08c2,1620129527.199686,1620129529.2090976
856fb10446,1620129530.781117,1620129535.2954874
e80dc9e1ec,1620129536.8435924,1620129539.9042077
dd9020aba0,1620129541.4682684,1620129543.2254884
4c94a00912,1620129544.8108032,1620129551.5825846
6371cce0d9,1620129553.1451275,1620129556.2566638
17d63ea9b7,1620129557.8066332,1620129559.4647756
f8a411722f,1620129561.031649,1620129563.591053
8df1d046ed,1620129565.1758077,1620129574.9019475
6b06989b57,1620129576.4400012,1620129578.8503869
63db647c46,1620129580.3987336,1620129583.3094375
079a9498f7,1620129584.8804653,1620129589.6462326
052bb4e141,1620129591.2086415,1620129594.672096
9527904f4e,1620129596.252963,1620129602.3214679
