time,size
1620129322.868798,164
1620129322.873454,164
1620129322.915202,54
1620129327.875442,164
1620129327.883073,164
1620129327.937995,54
1620129330.830535,66
1620129330.857706,66
1620129332.887163,164
1620129332.894902,164
1620129332.950330,54
1620129337.905475,164
1620129337.911675,164
1620129337.953416,54
1620129340.669185,71
1620129342.067102,66
1620129342.084232,66
1620129342.868352,66
1620129342.890381,66
1620129342.915282,164
1620129342.923551,164
1620129342.977889,54
1620129345.807540,360
1620129345.838247,168
1620129345.838357,66
1620129345.843324,66
1620129345.846988,66
1620129345.873613,66
1620129347.925156,164
1620129347.932888,164
1620129347.987221,54
1620129352.939654,164
1620129352.944437,164
1620129352.985581,54
1620129357.947437,164
1620129357.955443,164
1620129357.999642,54
1620129362.956368,164
1620129362.960876,164
1620129363.002962,54
1620129367.961727,164
1620129367.969261,164
1620129368.016337,54
1620129369.293089,78
1620129369.293089,78
1620129371.916781,92
1620129371.942063,66
1620129371.947446,92
1620129371.953519,66
1620129372.973869,164
1620129372.977566,164
1620129373.019901,54
1620129373.433503,98
1620129374.449304,98
1620129375.447310,98
1620129376.448318,98
1620129377.446484,98
1620129377.988279,164
1620129377.994924,164
1620129378.036053,54
1620129378.448463,98
1620129379.446367,98
1620129380.448495,98
1620129381.446198,98
1620129382.448107,98
1620129383.000663,164
1620129383.006860,164
1620129383.047950,54
1620129383.470784,98
1620129383.497997,98
1620129384.490124,98
1620129384.518760,98
1620129384.526434,74
1620129384.526434,74
1620129384.552981,90
1620129384.553086,102
1620129387.991629,66
1620129388.008144,66
1620129388.009627,164
1620129388.015362,164
1620129388.055923,54
1620129393.018715,164
1620129393.026204,164
1620129393.082002,54
1620129398.038801,164
1620129398.045494,164
1620129398.085437,54
1620129400.691214,71
1620129403.060751,164
1620129403.065707,164
1620129403.107224,54
1620129405.863604,89
1620129405.885559,105
1620129405.892342,74
1620129405.910390,74
1620129405.915822,66
1620129405.922246,360
1620129405.942254,66
1620129405.942329,149
1620129405.947277,66
1620129407.373489,79
1620129407.401183,95
1620129407.436152,1392
1620129407.468015,1392
1620129407.478037,75
1620129407.492315,1392
1620129407.492315,255
1620129407.514170,67
1620129407.533016,427
1620129407.533077,147
1620129407.541673,75
1620129408.076014,164
1620129408.081700,164
1620129408.122729,54
1620129413.091114,164
1620129413.094850,164
1620129413.136893,54
1620129417.025211,66
1620129417.041850,66
1620129418.095559,164
1620129418.103203,164
1620129418.157818,54
1620129423.118550,164
1620129423.121698,164
1620129423.164611,54
1620129428.132343,164
1620129428.138850,164
1620129428.180304,54
1620129429.303009,78
1620129429.305165,78
1620129433.104148,66
1620129433.122042,66
1620129433.145487,164
1620129433.148899,164
1620129433.191884,54
1620129438.164609,164
1620129438.168072,164
1620129438.210378,54
1620129443.173369,164
1620129443.179683,164
1620129443.233872,54
1620129446.443226,98
1620129447.457494,98
1620129448.194706,164
1620129448.198741,164
1620129448.243258,54
1620129448.454248,98
1620129449.456342,98
1620129450.454494,98
1620129451.026165,66
1620129451.045760,66
1620129451.456310,98
1620129452.454748,98
1620129453.160061,79
1620129453.182867,119
1620129453.199378,164
1620129453.206661,164
1620129453.214940,1392
1620129453.247523,1392
1620129453.256616,75
1620129453.258505,54
1620129453.268250,1392
1620129453.268250,1392
1620129453.268250,1392
1620129453.268250,1392
1620129453.268250,464
1620129453.287574,67
1620129453.292475,67
1620129453.307538,380
1620129453.307637,198
1620129453.313411,75
1620129453.455770,98
1620129454.454509,98
1620129455.625278,98
1620129456.482714,98
1620129456.509206,98
1620129457.615233,98
1620129457.642656,98
1620129457.647851,74
1620129457.651365,74
1620129457.667062,102
1620129457.672724,90
1620129458.220492,164
1620129458.274571,164
1620129458.327924,54
1620129460.735970,71
1620129462.065908,66
1620129462.081540,66
1620129463.281932,164
1620129463.286828,164
1620129463.342483,54
1620129465.956751,360
1620129465.974022,149
1620129465.978476,66
1620129468.300412,164
1620129468.305906,164
1620129468.360970,54
1620129473.307313,164
1620129473.312876,164
1620129473.369017,54
1620129478.223340,66
1620129478.245462,66
1620129478.324008,164
1620129478.327057,164
1620129478.370104,54
1620129483.330519,164
1620129483.335338,164
1620129483.376991,54
1620129488.346395,164
1620129488.352822,164
1620129488.408183,54
1620129489.312640,78
1620129489.314904,78
1620129491.957296,92
1620129491.981150,66
1620129491.985364,92
1620129491.991836,66
1620129493.366989,164
1620129493.372201,164
1620129493.413434,54
1620129498.387349,164
1620129498.391906,164
1620129498.433699,54
1620129503.398815,164
1620129503.405237,164
1620129503.446184,54
1620129508.413453,164
1620129508.463643,164
1620129508.506649,54
1620129511.024682,66
1620129511.042994,66
1620129513.478528,164
1620129513.484927,164
1620129513.539961,54
1620129513.668616,488
1620129513.672860,66
1620129513.672860,102
1620129513.695057,66
1620129518.495616,164
1620129518.499051,164
1620129518.541472,54
1620129519.566254,98
1620129520.587417,98
1620129520.708020,71
1620129521.584084,98
1620129522.585602,98
1620129523.515250,164
1620129523.522809,164
1620129523.576590,54
1620129523.583938,98
1620129524.586052,98
1620129525.584229,98
1620129525.998923,360
1620129526.017590,149
1620129526.021744,66
1620129526.586226,98
1620129527.583742,98
1620129528.537918,164
1620129528.543812,164
1620129528.584072,54
1620129528.584695,98
1620129529.606615,98
1620129529.636375,98
1620129530.625280,98
1620129530.653359,98
1620129530.660148,74
1620129530.660148,74
1620129530.687758,90
1620129530.687835,102
1620129533.553099,164
1620129533.558692,164
1620129533.599471,54
1620129537.025407,66
1620129537.042892,66
1620129538.574816,164
1620129538.581148,164
1620129538.622066,54
1620129543.591623,164
1620129543.595945,164
1620129543.638629,54
1620129548.605950,164
1620129548.609868,164
1620129548.655742,54
1620129549.323214,78
1620129549.323214,78
1620129553.616839,164
1620129553.624484,164
1620129553.680412,54
1620129558.632405,164
1620129558.637540,164
1620129558.679182,54
1620129558.704508,66
1620129558.723002,66
1620129563.647391,164
1620129563.654284,164
1620129563.709708,54
1620129568.661653,164
1620129568.683073,164
1620129568.738898,54
1620129571.023068,66
1620129571.041995,66
1620129573.253786,75
1620129573.280214,139
1620129573.284444,75
1620129573.303574,187
1620129573.308850,90
1620129573.336388,90
1620129573.693013,164
1620129573.700757,164
1620129573.754920,54
1620129578.709439,164
1620129578.715976,164
1620129578.771637,54
1620129580.726095,71
1620129582.062990,66
1620129582.081447,66
1620129583.730893,164
1620129583.736923,164
1620129583.792425,54
1620129586.040633,360
1620129586.059901,149
1620129586.064796,66
1620129588.740371,164
1620129588.743998,164
1620129588.786221,54
1620129589.893757,79
1620129592.628217,98
1620129593.655108,98
1620129593.746530,164
1620129593.754164,164
1620129593.809327,54
1620129594.653486,98
1620129595.657447,98
1620129596.652087,98
1620129597.653654,98
1620129598.652105,98
1620129598.760218,99
1620129598.760359,141
1620129598.764272,54
1620129598.764272,164
1620129598.807521,54
1620129599.655246,98
1620129600.653785,98
1620129601.655286,98
1620129602.685164,98
1620129602.715212,98
1620129603.704928,98
1620129603.731483,98
1620129603.738075,74
1620129603.742722,74
1620129603.761861,102
1620129603.761930,90
1620129603.778898,164
1620129603.784337,164
1620129603.824748,66
1620129603.825267,54
1620129603.843423,66
1620129608.801037,164
1620129608.809308,164
1620129608.862971,54
1620129609.321329,78
1620129609.321329,78
1620129611.998466,92
1620129612.022290,66
1620129612.028841,92
1620129612.032547,66
1620129613.817165,164
1620129613.822533,164
1620129613.864177,54
1620129618.826296,164
1620129618.830546,164
1620129618.872929,54
1620129623.835306,164
1620129623.839010,164
1620129623.882157,54
1620129628.845183,164
1620129628.893821,164
1620129628.938592,54
1620129631.102255,66
1620129631.120399,66
1620129633.895543,164
1620129633.904322,164
1620129633.958407,54
1620129638.916505,164
1620129638.922132,164
1620129638.962879,54
1620129640.733136,71
1620129643.936988,164
1620129643.942052,164
1620129643.983259,54
1620129646.081212,360
1620129646.100540,149
1620129646.104716,66
1620129648.943507,66
1620129648.947336,164
1620129648.954281,164
1620129648.965887,66
1620129649.000034,54
1620129653.965481,164
1620129653.970552,164
1620129654.012300,54
1620129657.103515,66
1620129657.120968,66
1620129658.978987,164
1620129658.985707,164
1620129659.025759,54
1620129663.992290,164
1620129663.999472,164
1620129664.054287,54
1620129665.720112,98
1620129666.741500,98
1620129667.742772,98
1620129668.741377,98
1620129669.006598,164
1620129669.013883,164
1620129669.068385,54
1620129669.330806,78
1620129669.330806,78
1620129669.741835,98
1620129670.740824,98
1620129671.742624,98
1620129672.741090,98
1620129673.742227,98
1620129674.021297,164
1620129674.024644,164
1620129674.068101,54
1620129674.741584,98
1620129675.765452,98
1620129675.792440,98
1620129676.783868,98
1620129676.811975,98
1620129676.818300,74
1620129676.822905,74
1620129676.842693,90
1620129676.846958,102
1620129679.029225,164
1620129679.035354,164
1620129679.090673,54
1620129684.042984,164
1620129684.048428,164
1620129684.089370,54
1620129684.834123,98
1620129685.836334,98
1620129686.832766,98
1620129687.871954,98
1620129688.926484,98
1620129689.056141,164
1620129689.100244,164
1620129689.150185,54
1620129689.850500,98
1620129690.832725,98
1620129691.245139,66
1620129691.265677,66
1620129691.885912,98
1620129692.924410,98
1620129694.110716,164
1620129694.154861,66
1620129694.164538,164
1620129694.172944,66
1620129694.204328,54
1620129698.434113,79
1620129698.463615,95
1620129698.485777,1392
1620129698.520094,1392
1620129698.527167,75
1620129698.542267,1392
1620129698.542267,377
1620129698.562278,67
1620129698.583247,604
1620129698.633141,75
1620129699.180521,164
1620129699.187496,164
1620129699.242406,54
1620129700.753823,71
1620129702.220997,66
1620129702.241470,66
1620129702.872743,70
1620129702.906007,86
1620129702.912760,98
1620129702.932722,98
1620129702.939635,87
1620129702.968998,126
1620129703.931148,98
1620129703.949475,98
1620129703.953978,87
1620129703.980457,126
1620129704.197760,164
1620129704.206268,164
1620129704.246701,54
1620129704.954113,98
1620129704.971340,98
1620129704.976398,87
1620129704.996064,126
1620129705.970298,98
1620129705.988688,98
1620129705.991272,87
1620129706.014219,126
1620129706.121336,360
1620129706.141673,149
1620129706.146058,66
1620129706.994300,98
1620129707.011996,98
1620129707.015627,87
1620129707.040201,126
1620129708.000797,98
1620129708.019259,98
1620129708.022897,87
1620129708.045959,126
1620129709.023057,98
1620129709.042109,98
1620129709.048131,87
1620129709.076329,126
1620129709.207303,164
1620129709.213926,164
1620129709.268596,54
1620129710.042174,98
1620129710.061766,98
1620129710.065335,87
1620129710.087350,126
1620129711.064292,98
1620129711.084490,98
1620129711.091684,87
1620129711.114379,126
1620129714.227642,164
1620129714.234732,164
1620129714.289255,54
1620129719.245763,164
1620129719.251722,164
1620129719.291698,54
1620129724.254482,164
1620129724.260826,164
1620129724.316078,54
1620129729.273573,164
1620129729.278362,164
1620129729.320609,54
1620129729.337901,78
1620129729.340562,78
1620129732.040773,92
1620129732.065657,66
1620129732.071182,92
1620129732.076744,66
1620129734.294329,164
1620129734.298736,164
1620129734.339618,54
1620129738.683623,98
1620129739.181148,66
1620129739.199447,66
1620129739.305021,164
1620129739.312519,164
1620129739.366855,54
1620129739.702549,98
1620129740.701957,98
1620129741.705593,98
1620129742.700782,98
1620129743.702798,98
1620129744.323908,164
1620129744.328567,164
1620129744.369961,54
1620129744.701764,98
1620129745.702177,98
1620129746.701009,98
1620129747.703059,98
1620129748.721462,98
1620129748.748202,98
1620129749.344286,164
1620129749.352158,164
1620129749.405574,54
1620129749.745270,98
1620129749.772196,98
1620129749.782551,74
1620129749.782551,74
1620129749.800235,102
1620129749.808967,90
1620129751.211943,66
1620129751.230101,66
1620129753.322768,79
1620129753.356546,119
1620129753.454189,1392
1620129753.485901,1392
1620129753.492702,75
1620129753.497138,1392
1620129753.509987,1392
1620129753.509987,1392
1620129753.509987,1392
1620129753.509987,493
1620129753.528138,67
1620129753.530349,67
1620129753.544790,380
1620129753.545260,91
1620129753.551553,77
1620129753.551553,75
1620129754.364529,164
1620129754.370492,164
1620129754.425218,54
1620129759.372869,164
1620129759.380768,164
1620129759.433849,54
1620129760.764068,71
1620129764.383985,164
1620129764.387890,164
1620129764.429822,54
1620129766.165252,360
1620129766.187677,149
1620129766.192365,66
1620129769.399368,164
1620129769.404370,164
1620129769.444766,54
1620129774.417074,164
1620129774.419132,164
1620129774.464215,54
1620129777.101163,66
1620129777.117574,66
1620129779.427642,164
1620129779.434769,164
1620129779.477524,54
1620129784.297391,66
1620129784.314372,66
1620129784.447636,164
1620129784.450476,164
1620129784.494972,54
1620129789.346998,78
1620129789.348196,78
1620129789.465013,164
1620129789.471410,164
1620129789.526794,54
1620129794.477205,164
1620129794.481388,164
1620129794.523102,54
1620129799.496859,164
1620129799.500860,164
1620129799.544063,54
1620129804.514933,164
