word,start_time,end_time
the,1619888245.0744996,1619888245.90937
hey_siri,1619888246.92885,1619888248.1866455
of,1619888249.4626935,1619888250.320971
and,1619888251.3422985,1619888252.1981032
to,1619888253.2266958,1619888253.9370775
a,1619888254.9577315,1619888255.6657062
in,1619888256.6975007,1619888257.4540567
for,1619888258.48734,1619888259.3437524
is,1619888260.3594382,1619888261.1651275
on,1619888262.18544,1619888263.041998
that,1619888264.0698094,1619888264.827723
by,1619888265.84038,1619888266.7490573
this,1619888267.7654788,1619888268.7736113
with,1619888269.796186,1619888270.5555322
i,1619888271.5837774,1619888272.393466
you,1619888273.4171183,1619888274.3762834
it,1619888275.3939786,1619888276.0518272
not,1619888277.0810845,1619888277.9890115
or,1619888279.0088184,1619888279.7152128
be,1619888280.7307558,1619888281.5878026
are,1619888282.6120002,1619888283.3193321
from,1619888284.343844,1619888285.3015895
at,1619888286.3134165,1619888287.0700603
as,1619888288.090431,1619888288.997146
your,1619888290.0233545,1619888290.9295886
all,1619888291.9621818,1619888292.7202177
have,1619888293.7476099,1619888294.5565321
new,1619888295.5833342,1619888296.4895093
more,1619888297.5249116,1619888298.333014
an,1619888299.3546944,1619888300.2131653
was,1619888301.2373433,1619888302.2958415
we,1619888303.3137045,1619888304.1719742
will,1619888305.1926186,1619888305.9988725
home,1619888307.0214221,1619888307.882353
can,1619888308.8848615,1619888309.7946322
us,1619888310.8485708,1619888311.6556382
about,1619888312.6448145,1619888313.6043437
if,1619888314.6232367,1619888315.3287854
page,1619888316.3485196,1619888317.2564044
my,1619888318.279364,1619888319.135823
has,1619888320.1463497,1619888321.1545892
search,1619888322.1683233,1619888323.2279427
free,1619888324.2488203,1619888325.1553216
but,1619888326.1817331,1619888327.0377567
our,1619888328.0463498,1619888328.803008
one,1619888329.8232965,1619888330.7817879
other,1619888331.8003082,1619888332.558221
do,1619888333.5834138,1619888334.4392328
no,1619888335.4461722,1619888336.3030026
information,1619888337.3363235,1619888338.744112
time,1619888339.7654371,1619888340.6252022
they,1619888341.6437488,1619888342.5016415
hey_siri,1619888343.5235357,1619888344.782293
site,1619888346.0572844,1619888347.0163662
he,1619888348.0379548,1619888348.845046
up,1619888349.8689303,1619888350.5757675
may,1619888351.5974257,1619888352.4539983
what,1619888353.460969,1619888354.267214
which,1619888355.2763374,1619888356.1330857
their,1619888357.1361713,1619888357.9972382
news,1619888359.0294673,1619888360.1386852
out,1619888361.1644692,1619888361.971085
use,1619888362.9908085,1619888363.998374
any,1619888365.016824,1619888365.8733466
there,1619888366.8874977,1619888367.7438297
see,1619888368.7530024,1619888369.7108333
only,1619888370.7096264,1619888371.6688063
so,1619888372.6957798,1619888373.6543174
his,1619888374.685942,1619888375.641858
when,1619888376.657623,1619888377.5142512
contact,1619888378.5379076,1619888379.59453
here,1619888380.6108196,1619888381.4697702
business,1619888382.5037425,1619888383.7136781
who,1619888384.7349474,1619888385.4931922
web,1619888386.5023222,1619888387.3590329
also,1619888388.3879805,1619888389.395991
now,1619888390.4003215,1619888391.3086467
help,1619888392.318506,1619888393.177643
get,1619888394.2173853,1619888395.0744812
pm,1619888396.099956,1619888397.0063937
view,1619888398.0254939,1619888398.8841674
online,1619888399.8809314,1619888400.9386199
c,1619888401.9742892,1619888402.9330473
e,1619888403.931616,1619888404.6883304
first,1619888405.7135818,1619888406.721466
