word,start_time,end_time
the,1619467992.8161187,1619467993.6976027
hey_alexa,1619467994.5676823,1619467995.875363
of,1619468003.7388706,1619468004.4981363
and,1619468005.3727221,1619468006.2291124
to,1619468007.101497,1619468008.0082722
a,1619468008.8565533,1619468009.6621892
in,1619468010.5317335,1619468011.3376608
for,1619468012.194519,1619468013.1010108
is,1619468013.972038,1619468014.880072
on,1619468015.7313108,1619468016.5395112
that,1619468017.4181476,1619468018.2242067
by,1619468019.082261,1619468020.0410492
this,1619468020.8922849,1619468021.7987552
with,1619468022.6734836,1619468023.5313458
i,1619468024.4119825,1619468025.2706273
you,1619468026.141008,1619468026.9979253
it,1619468027.871167,1619468028.6283898
not,1619468029.4997675,1619468030.3586278
or,1619468031.2237387,1619468032.0317779
be,1619468032.9057062,1619468033.812548
are,1619468034.678546,1619468035.4894536
from,1619468036.366508,1619468037.2726657
at,1619468038.1364923,1619468038.9426785
as,1619468039.8151243,1619468040.7724776
your,1619468041.6417542,1619468042.4987955
all,1619468043.3687255,1619468044.1761024
have,1619468045.056388,1619468045.9142952
new,1619468046.7854927,1619468047.6413987
more,1619468048.51025,1619468049.4205506
an,1619468050.2859633,1619468051.142067
was,1619468052.0038602,1619468053.012984
we,1619468053.8858073,1619468054.7451131
will,1619468055.610271,1619468056.519445
home,1619468057.378806,1619468058.2862346
can,1619468059.1595814,1619468060.11869
us,1619468060.9956155,1619468061.852265
about,1619468062.7326047,1619468063.6932333
if,1619468064.5574136,1619468065.3644867
page,1619468066.2073956,1619468067.2166793
my,1619468068.0861914,1619468068.942213
has,1619468069.8214645,1619468070.8783922
search,1619468071.7461886,1619468072.752683
free,1619468073.5985148,1619468074.5071142
but,1619468075.3844497,1619468076.1934984
our,1619468077.0635602,1619468077.8216312
one,1619468078.6925585,1619468079.5495539
other,1619468080.420972,1619468081.2772412
do,1619468082.1512015,1619468083.059122
no,1619468083.9217274,1619468084.7784245
information,1619468085.6363325,1619468086.9446816
time,1619468087.8159745,1619468088.775377
they,1619468089.6506004,1619468090.5092456
hey_siri,1619468091.3881452,1619468092.5978026
site,1619468093.4658394,1619468094.4230602
he,1619468095.2847493,1619468096.0910528
up,1619468096.9627721,1619468097.6692321
may,1619468098.5202184,1619468099.4290485
what,1619468100.3052983,1619468101.112582
which,1619468101.9656076,1619468102.8731043
their,1619468103.74542,1619468104.5525799
news,1619468105.4199147,1619468106.478504
out,1619468107.3427944,1619468108.1029131
use,1619468108.967974,1619468109.9247215
any,1619468110.7873433,1619468111.5942073
there,1619468112.4691975,1619468113.378414
see,1619468114.2514014,1619468115.2077107
only,1619468116.0769453,1619468117.0357237
so,1619468117.9059644,1619468118.9129086
his,1619468119.7720642,1619468120.6806092
when,1619468121.5527718,1619468122.461177
contact,1619468123.304372,1619468124.412824
here,1619468125.2811353,1619468126.1390364
business,1619468127.0139601,1619468128.070701
who,1619468128.9402215,1619468129.7974467
web,1619468130.656019,1619468131.5161417
also,1619468132.3803492,1619468133.4393284
now,1619468134.30396,1619468135.2109027
help,1619468136.0838995,1619468136.889809
get,1619468137.7494328,1619468138.5600595
pm,1619468139.4374983,1619468140.5471535
view,1619468141.4043481,1619468142.3133142
online,1619468143.1778376,1619468144.2854087
c,1619468145.1428745,1619468146.0995126
e,1619468146.962862,1619468147.769256
first,1619468148.6353555,1619468149.6433752
am,1619468150.511206,1619468151.370299
been,1619468152.2227485,1619468153.0815089
would,1619468153.9423661,1619468154.8521886
how,1619468155.69008,1619468156.5990028
were,1619468157.4728649,1619468158.382647
me,1619468159.2271628,1619468160.0866024
s,1619468160.9576497,1619468161.813663
services,1619468162.682145,1619468163.9426289
some,1619468164.8068683,1619468165.7642436
these,1619468166.6276255,1619468167.6868331
