word,start_time,end_time
the,1620189845.7364688,1620189846.6204736
hey_siri,1620189847.6212702,1620189848.82903
of,1620189849.849081,1620189850.6060321
and,1620189851.629048,1620189852.488179
to,1620189853.4962966,1620189854.4046042
a,1620189855.416056,1620189856.2243788
in,1620189857.2435784,1620189858.0519826
for,1620189859.0707505,1620189859.97721
is,1620189860.9920583,1620189861.899429
on,1620189862.9195027,1620189863.7766345
that,1620189864.7802703,1620189865.637954
by,1620189866.6652157,1620189867.6242356
this,1620189868.6303658,1620189869.537688
with,1620189870.537968,1620189871.3939333
i,1620189872.4177542,1620189873.273846
you,1620189874.2740855,1620189875.0808532
it,1620189876.0950177,1620189876.8525612
not,1620189877.8801136,1620189878.7396708
or,1620189879.736161,1620189880.5443392
be,1620189881.5566654,1620189882.4638715
are,1620189883.4652464,1620189884.2719164
from,1620189885.2988477,1620189886.205147
at,1620189887.225121,1620189888.031308
as,1620189889.0536773,1620189890.0607376
your,1620189891.0931118,1620189891.9014244
all,1620189892.8985844,1620189893.706559
have,1620189894.7268143,1620189895.5853488
new,1620189896.6151736,1620189897.5237162
more,1620189898.5479157,1620189899.4045546
an,1620189900.396486,1620189901.2558854
was,1620189902.2764661,1620189903.2831798
we,1620189904.3101952,1620189905.1680408
will,1620189906.1813917,1620189907.0406656
home,1620189908.065565,1620189908.9737942
can,1620189910.0016143,1620189910.9586008
us,1620189911.983075,1620189912.8395207
about,1620189913.8602533,1620189914.8187237
if,1620189915.8262866,1620189916.635728
page,1620189917.650013,1620189918.6573899
my,1620189919.6777573,1620189920.5349684
has,1620189921.560037,1620189922.6176658
search,1620189923.6262164,1620189924.6359813
free,1620189925.6588213,1620189926.6159315
but,1620189927.638442,1620189928.4449024
our,1620189929.466714,1620189930.2235959
one,1620189931.2276313,1620189932.1340165
other,1620189933.138859,1620189933.9970477
do,1620189934.9938865,1620189935.899968
no,1620189936.901465,1620189937.7592096
information,1620189938.7826934,1620189940.090043
time,1620189941.1078885,1620189942.0139918
they,1620189943.03834,1620189943.9449053
hey_alexa,1620189944.969824,1620189946.2781456
