word,start_time,end_time
the,1619793479.329663,1619793480.261973
hey_siri,1619793481.175863,1619793482.5844126
of,1619793483.4970798,1619793484.2536933
and,1619793485.1739244,1619793486.1309624
to,1619793487.0511327,1619793487.9075627
a,1619793488.799754,1619793489.6084313
in,1619793490.520858,1619793491.2776234
for,1619793492.1765883,1619793493.1830912
is,1619793494.099536,1619793495.05633
on,1619793495.9518898,1619793496.7584822
that,1619793497.6579108,1619793498.6149182
by,1619793499.5347676,1619793500.3911104
this,1619793501.3130429,1619793502.3722842
with,1619793503.294427,1619793504.101236
i,1619793505.0162945,1619793505.77336
you,1619793506.6919558,1619793507.6018343
it,1619793508.5191576,1619793509.3247497
not,1619793510.244363,1619793511.3024848
or,1619793512.1829681,1619793512.9894276
be,1619793513.9057477,1619793514.7637136
are,1619793515.6795602,1619793516.4362726
from,1619793517.3581567,1619793518.3148563
at,1619793519.2409618,1619793520.0979428
as,1619793521.0173059,1619793521.9245577
your,1619793522.8412867,1619793523.7980487
all,1619793524.7011049,1619793525.5570807
have,1619793526.475562,1619793527.3339598
new,1619793528.25257,1619793529.2119577
more,1619793530.1349814,1619793531.0938814
an,1619793532.0137002,1619793532.771086
was,1619793533.694237,1619793534.752921
we,1619793535.6695247,1619793536.5257945
will,1619793537.4467902,1619793538.3548462
home,1619793539.2746773,1619793540.231987
can,1619793541.1485271,1619793542.005961
us,1619793542.9337878,1619793543.890177
about,1619793544.8078027,1619793545.9171498
if,1619793546.8301435,1619793547.6866462
page,1619793548.6086795,1619793549.717633
my,1619793550.6210492,1619793551.528318
has,1619793552.4497397,1619793553.507318
search,1619793554.4333618,1619793555.7419498
free,1619793556.6402025,1619793557.6474931
but,1619793558.5673742,1619793559.5247552
our,1619793560.4510334,1619793561.3074841
one,1619793562.2211545,1619793563.12948
other,1619793564.0417595,1619793564.8508697
do,1619793565.774602,1619793566.6335292
no,1619793567.54282,1619793568.4513762
information,1619793569.3595521,1619793570.7678819
time,1619793571.6817284,1619793572.6901126
they,1619793573.6098976,1619793574.4668214
hey_alexa,1619793575.3907883,1619793576.850096
site,1619793584.764807,1619793585.9259865
he,1619793586.8214507,1619793587.6801932
up,1619793588.6012511,1619793589.3592813
may,1619793590.274234,1619793591.1327038
what,1619793592.0572298,1619793593.0669394
which,1619793593.9899683,1619793595.0977104
their,1619793596.0148518,1619793596.872496
news,1619793597.7925098,1619793599.0503364
out,1619793599.9547203,1619793600.9112601
use,1619793601.830234,1619793602.988947
any,1619793603.9059753,1619793604.7156296
there,1619793605.632642,1619793606.4915617
see,1619793607.3932142,1619793608.3999746
only,1619793609.3195593,1619793610.377009
so,1619793611.3081536,1619793612.316878
his,1619793613.2403693,1619793614.2966776
when,1619793615.2205164,1619793616.0797026
contact,1619793617.0033376,1619793618.312379
here,1619793619.2425194,1619793620.1500735
business,1619793621.070832,1619793622.3301558
who,1619793623.2528386,1619793624.1090496
web,1619793625.0066657,1619793625.8149235
also,1619793626.7301672,1619793627.8893116
now,1619793628.8120513,1619793629.7190964
help,1619793630.6399605,1619793631.5468562
get,1619793632.441803,1619793633.3486817
pm,1619793634.2747252,1619793635.3335366
view,1619793636.2528923,1619793637.3117502
online,1619793638.2247326,1619793639.3836727
c,1619793640.3067656,1619793641.3132522
e,1619793642.2316334,1619793642.9878178
first,1619793643.9053109,1619793645.1645465
am,1619793646.0826218,1619793646.8885987
been,1619793647.8106675,1619793648.7188864
would,1619793649.6169977,1619793650.5238929
how,1619793651.4274902,1619793652.2841797
were,1619793653.2055047,1619793654.1126876
me,1619793655.0335338,1619793655.9406357
s,1619793656.8709137,1619793657.8270166
services,1619793658.7396927,1619793660.2000906
some,1619793661.128654,1619793662.0859551
these,1619793662.9997127,1619793664.1581008
click,1619793665.055754,1619793665.9647536
its,1619793666.8817737,1619793667.8906965
like,1619793668.8115408,1619793669.8201263
service,1619793670.7359633,1619793672.0949345
x,1619793673.0097487,1619793674.1167672
than,1619793675.0169892,1619793675.9258463
find,1619793676.8328059,1619793677.9409637
price,1619793678.8632371,1619793680.0211487
ok_google,1619793680.9580762,1619793682.5684247
date,1619793683.4776223,1619793684.5352802
back,1619793685.4537349,1619793686.311854
top,1619793687.2230136,1619793688.0810654
people,1619793689.0024335,1619793689.9588442
had,1619793690.8859901,1619793691.7435565
list,1619793692.6426687,1619793693.8003974
name,1619793694.7264435,1619793695.7334485
just,1619793696.6570415,1619793697.766102
over,1619793698.6815531,1619793699.5390267
state,1619793700.4587753,1619793701.6182423
year,1619793702.542294,1619793703.449647
day,1619793704.377033,1619793705.2358947
into,1619793706.157444,1619793707.0646863
email,1619793707.9828055,1619793709.03983
two,1619793709.9361718,1619793710.7928798
health,1619793711.7125182,1619793712.7199173
n,1619793713.6447992,1619793714.4025142
world,1619793715.3087277,1619793716.3676493
re,1619793717.288821,1619793718.1473649
next,1619793719.0611105,1619793720.3193285
used,1619793721.2397234,1619793722.497541
go,1619793723.4169676,1619793724.2231212
b,1619793725.1434758,1619793726.0498774
work,1619793726.9726105,1619793728.029967
last,1619793728.9528916,1619793730.1604311
most,1619793731.0807061,1619793732.2883005
products,1619793733.214607,1619793734.5744827
music,1619793735.4969335,1619793736.656297
buy,1619793737.5773103,1619793738.4342563
data,1619793739.3477995,1619793740.3055978
make,1619793741.2069576,1619793742.1638336
them,1619793743.0799294,1619793743.9364352
should,1619793744.8453074,1619793745.8545704
product,1619793746.769926,1619793747.926991
system,1619793748.850817,1619793750.0588748
post,1619793750.9598582,1619793752.0672057
her,1619793752.9767141,1619793753.7834253
city,1619793754.7020917,1619793755.8122277
t,1619793756.7235322,1619793757.6308653
add,1619793758.5599828,1619793759.3682358
policy,1619793760.2873967,1619793761.4458632
number,1619793762.377127,1619793763.3856719
such,1619793764.3101094,1619793765.5193286
please,1619793766.4188466,1619793767.5785606
available,1619793768.5052574,1619793769.714786
copyright,1619793770.6310978,1619793771.9902136
support,1619793772.9116786,1619793774.2201076
message,1619793775.1435196,1619793776.3515556
after,1619793777.2722557,1619793778.279301
best,1619793779.2108378,1619793780.2708976
hey_alexa,1619793781.199813,1619793782.6584315
software,1619793790.5773754,1619793791.8874671
then,1619793792.8184328,1619793793.7275305
jan,1619793794.65259,1619793795.5590725
good,1619793796.481877,1619793797.3393729
video,1619793798.2343678,1619793799.392436
well,1619793800.3121505,1619793801.1690786
d,1619793802.085594,1619793802.99194
where,1619793803.910597,1619793804.8173335
info,1619793805.7310376,1619793806.7885094
rights,1619793807.7140045,1619793808.97169
public,1619793809.889369,1619793810.9463992
books,1619793811.8718874,1619793813.0302608
high,1619793813.9478204,1619793814.805804
school,1619793815.7035313,1619793816.761516
through,1619793817.6750896,1619793818.634324
m,1619793819.5535939,1619793820.3101335
each,1619793821.2099998,1619793822.318984
links,1619793823.2367365,1619793824.4973118
she,1619793825.4247062,1619793826.331963
review,1619793827.2465618,1619793828.3539295
years,1619793829.2771719,1619793830.4848845
order,1619793831.408893,1619793832.3146641
very,1619793833.234734,1619793834.2436533
privacy,1619793835.1662555,1619793836.3758643
book,1619793837.30361,1619793838.160602
items,1619793839.0846841,1619793840.3435245
company,1619793841.2597115,1619793842.4170418
r,1619793843.3303974,1619793844.1369739
read,1619793845.06524,1619793845.9742405
group,1619793846.8921795,1619793847.9001198
need,1619793848.8214579,1619793849.8783243
many,1619793850.803154,1619793851.7608812
user,1619793852.6733923,1619793853.7315838
said,1619793854.6495333,1619793855.557509
de,1619793856.4753702,1619793857.2326324
does,1619793858.1466417,1619793859.2037373
set,1619793860.1101186,1619793861.1675546
under,1619793862.0878963,1619793862.9944339
general,1619793863.9238212,1619793864.9329305
research,1619793865.833985,1619793867.2417185
university,1619793868.1455588,1619793869.753771
january,1619793870.6756456,1619793871.984329
mail,1619793872.902471,1619793873.8585806
full,1619793874.7555752,1619793875.6624029
