word,start_time,end_time
53842b7121,1620104293.9337013,1620104297.1643765
63ef6409a1,1620104298.7504778,1620104306.6264882
8e4a1876d4,1620104308.2194939,1620104318.146731
0e82879390,1620104319.7063212,1620104321.6637173
7ea549c0e3,1620104323.229275,1620104326.7393558
384e8e720a,1620104328.3347123,1620104338.2617319
4a8c740c4c,1620104339.8508542,1620104348.6756015
169496ff87,1620104350.2458785,1620104358.8197489
24bcd591e9,1620104360.4101932,1620104370.2408838
c641f4e9d1,1620104371.8093274,1620104375.7739
eefa87ed20,1620104377.3338828,1620104380.7955928
bf3c9a2cd6,1620104382.3642752,1620104391.0872636
ea4fcadd0d,1620104392.6538436,1620104394.963005
95d32f7a9c,1620104396.5194397,1620104398.9791193
8f80af0bd8,1620104400.5401855,1620104404.0511632
7bd4ee30aa,1620104405.6065037,1620104412.179077
7bacf6c13a,1620104413.7370808,1620104414.743181
0991a1ed99,1620104416.327504,1620104424.8501916
f820f627ac,1620104426.3974605,1620104431.6647913
11f6b13abe,1620104433.243386,1620104439.9629648
1f5e9b097d,1620104441.5102372,1620104442.6678858
c4621d864f,1620104444.2559965,1620104452.478621
16431c7208,1620104454.0470684,1620104459.7133567
4e65327c7f,1620104461.2937977,1620104469.0170283
d8c4e954f1,1620104470.5872517,1620104478.9616244
c21e8ea90e,1620104480.5311732,1620104484.7957785
bdc7bb455a,1620104486.355462,1620104494.2782223
d15423ceab,1620104495.8286438,1620104496.8352902
8dfcda6119,1620104498.4262385,1620104506.6030645
1345518a83,1620104508.193844,1620104518.1225264
1998972872,1620104519.6985974,1620104527.672038
e60bcbad61,1620104529.2431939,1620104536.566779
000d484b72,1620104538.146315,1620104544.4193838
fab732936e,1620104545.9971182,1620104554.52275
089af89361,1620104556.112297,1620104565.7932658
91d665405f,1620104567.3771977,1620104576.1018295
52ad3aad1a,1620104577.6561859,1620104580.9676454
a60bcb2137,1620104582.5303426,1620104585.641199
7036506a76,1620104587.224929,1620104595.7500362
88556be464,1620104597.3251724,1620104604.244789
adcbc4155f,1620104605.8344898,1620104614.3580449
bfb22bbd41,1620104615.929204,1620104620.1443574
fc63c5ba77,1620104621.713109,1620104629.9396348
7af689949a,1620104631.5095942,1620104636.7282934
95627f0fbf,1620104638.3164794,1620104646.8408482
495223b679,1620104648.4316413,1620104658.0087092
358d045544,1620104659.5794635,1620104669.4565873
b4c04c9cee,1620104671.0263839,1620104674.438145
7746aac7bb,1620104675.9797952,1620104679.6921034
ab9a724a0d,1620104681.2743514,1620104688.8965821
0a7f85c202,1620104690.4558938,1620104692.1133957
03dc50395d,1620104693.6771927,1620104694.7833326
398257a03c,1620104696.354947,1620104704.5273876
407a4c1e16,1620104706.0983796,1620104711.26738
f50c563171,1620104712.8465357,1620104721.0699623
279b5055ae,1620104722.6320193,1620104725.593717
421441f7b6,1620104727.1683831,1620104731.4326546
a30f1ea394,1620104733.0210786,1620104740.6468322
2ad1ae29ac,1620104742.238585,1620104751.9662108
dfa56f4689,1620104753.5235436,1620104758.0890908
574ef9a468,1620104759.6822078,1620104768.1582718
d494146b8a,1620104769.7535727,1620104780.0857317
32e4cf004a,1620104781.6439166,1620104785.0556443
9f05ebb2e9,1620104786.6285799,1620104795.2012885
7bb0b866b2,1620104796.7599647,1620104798.1668925
d83b749860,1620104799.7568617,1620104808.733408
c2ecb25e41,1620104810.300854,1620104813.4617145
65863dfa99,1620104815.039755,1620104822.71075
6ff5224e7b,1620104824.2641635,1620104826.5738015
b8bdff5348,1620104828.1364791,1620104831.1970162
b248ef41a8,1620104832.785817,1620104842.011765
f33a109020,1620104843.58693,1620104851.6597674
1042e301d6,1620104853.2081301,1620104856.5214236
39df3f341c,1620104858.0804424,1620104861.342057
a722c79296,1620104862.929208,1620104872.404375
b795f7d545,1620104873.9656246,1620104876.1748164
fb6ab65937,1620104877.7438133,1620104881.9079914
c12b17cfeb,1620104883.4655952,1620104885.1726167
ef0b11c9b9,1620104886.7631636,1620104895.137738
57a0e3bc4f,1620104896.7230337,1620104904.7456684
01683760c4,1620104906.3063984,1620104908.3645945
29d7c13c35,1620104909.9575372,1620104918.432263
cfe956b843,1620104919.994937,1620104925.562785
12c22231b5,1620104927.1565776,1620104935.029101
fa3dd6f868,1620104936.615907,1620104946.1424944
5fe49cd30e,1620104947.7115476,1620104954.280269
4dbef65edf,1620104955.8553846,1620104959.9178946
7e7a327e06,1620104961.4752016,1620104963.6839058
f9be6bdf04,1620104965.252195,1620104970.5685146
dc86fed661,1620104972.1523569,1620104980.4250593
b9a69f58ae,1620104981.9878073,1620104983.3433
662a929f74,1620104984.9079256,1620104993.832372
41fe3ff2b6,1620104995.4065259,1620104998.365984
de9c046444,1620104999.910691,1620105002.1705434
f729d26baa,1620105003.7631588,1620105012.6397767
f913332ba5,1620105014.2267702,1620105023.4048135
ae285ce59c,1620105024.9713166,1620105026.6293702
cef7d0494c,1620105028.2129703,1620105036.5871012
a617a403cf,1620105038.1568582,1620105040.7166429
cae0cdea13,1620105042.258841,1620105043.968062
c342726830,1620105045.5587802,1620105053.8327508
4cea5675c3,1620105055.4243584,1620105064.5510852
ed7bc74deb,1620105066.1292403,1620105071.3940794
52745d6afd,1620105072.9880354,1620105082.61677
e74e744880,1620105084.2114456,1620105094.2379525
ca0b8d5612,1620105095.8098667,1620105103.130494
73ea912633,1620105104.703777,1620105107.313393
a3e7220de4,1620105108.9044101,1620105118.0797753
c55c97a6d6,1620105119.6589706,1620105125.0258346
e9b3534c9e,1620105126.6242032,1620105135.600776
ac352626f2,1620105137.160407,1620105138.8675241
b34ba87bd2,1620105140.4588068,1620105149.034768
f1ecb2bf6e,1620105150.6178467,1620105159.2936912
96c34bcdde,1620105160.8372827,1620105163.2467597
a251aa0736,1620105164.8198166,1620105169.934265
df4c657679,1620105171.5036306,1620105180.628408
1ccc41a58b,1620105182.1714017,1620105183.3280363
0fb3e1fa57,1620105184.9136677,1620105193.9373443
8705fd362a,1620105195.5360284,1620105204.8606715
16a96060f9,1620105206.446927,1620105214.2682273
e3229ff952,1620105215.830365,1620105224.5544727
9592f705f5,1620105226.1159434,1620105232.033758
6a29d2dde9,1620105233.609694,1620105241.832392
2cdcb97fe2,1620105243.426322,1620105252.4504514
6c15e2b0fe,1620105254.0389907,1620105262.4115345
3f4bcf075b,1620105263.9833176,1620105270.1013913
af52c6226c,1620105271.6815104,1620105279.4046712
c1c613df75,1620105280.9681792,1620105287.3891954
87247e4631,1620105288.9517417,1620105292.3125637
2f2024cc5d,1620105293.8976262,1620105303.4223359
a2d9df43d9,1620105305.0031657,1620105313.0258255
458a448dcb,1620105314.6009474,1620105320.3677742
9df8ceb74f,1620105321.9292195,1620105323.7869925
f528c0bdfa,1620105325.3513608,1620105328.5616064
066ea9efbb,1620105330.150283,1620105339.3765757
71959f4e31,1620105340.9401846,1620105345.856252
ea312e8027,1620105347.4337041,1620105353.4013991
465ac6a948,1620105354.9457731,1620105356.35313
dbae2f3465,1620105357.9378235,1620105366.962084
8f0ed31bb3,1620105368.5411425,1620105375.210798
ea438f1e8a,1620105376.794787,1620105384.5179014
88b0340b5f,1620105386.1050177,1620105394.5796077
70c61ef75a,1620105396.1564534,1620105404.6810625
64229bc41e,1620105406.2731924,1620105414.847849
5eb95e3c5d,1620105416.3955371,1620105418.9066682
413ce12ebf,1620105420.4642162,1620105421.3704734
16d98fbd70,1620105422.9612255,1620105431.5369315
e4e937c5d4,1620105433.10069,1620105436.613118
ab28302fe9,1620105438.1981132,1620105446.8723633
36918f4859,1620105448.4582834,1620105456.8825574
44bd4a6f46,1620105458.4487588,1620105460.9080586
8c21cd2c26,1620105462.5004144,1620105472.4834754
8d7e8ed274,1620105474.0766745,1620105484.7610283
6c0c6d7ca9,1620105486.3429124,1620105493.6142018
46f71fae87,1620105495.1916504,1620105503.5682783
64c08f37c2,1620105505.151523,1620105513.2780807
153a1ce606,1620105514.8133016,1620105517.1227405
2d957263da,1620105518.7006326,1620105527.7291024
5d59dcf400,1620105529.31578,1620105537.7431307
ba4edfd520,1620105539.3158703,1620105544.3326108
0207773538,1620105545.8914566,1620105554.114545
132a2baeb9,1620105555.6774945,1620105559.1393785
