word,start_time,end_time
the,1619444600.094949,1619444600.9781234
ok_google,1619444602.037322,1619444603.4446206
of,1619444604.5134008,1619444605.2716439
and,1619444606.3410778,1619444607.249619
to,1619444608.3107505,1619444609.2196057
a,1619444610.2847228,1619444611.0929587
in,1619444612.1605005,1619444612.9686012
for,1619444614.047926,1619444614.9544377
is,1619444615.9999244,1619444616.9091718
on,1619444617.9778419,1619444618.8361654
that,1619444619.885428,1619444620.7436903
by,1619444621.7996812,1619444622.758257
this,1619444623.8176053,1619444624.7243404
with,1619444625.7797313,1619444626.6366336
i,1619444627.6941302,1619444628.5511506
you,1619444629.6195285,1619444630.4767997
it,1619444631.5321896,1619444632.2896016
not,1619444633.354259,1619444634.2126694
or,1619444635.2776465,1619444636.085691
be,1619444637.137548,1619444638.046057
are,1619444639.118384,1619444639.9265463
from,1619444640.9885173,1619444641.8956773
at,1619444642.9648113,1619444643.7715247
as,1619444644.8337986,1619444645.7903106
your,1619444646.855995,1619444647.7151597
all,1619444648.7936375,1619444649.6019335
have,1619444650.6736739,1619444651.5299447
new,1619444652.5805166,1619444653.487751
more,1619444654.5624132,1619444655.4702775
an,1619444656.5391765,1619444657.3970373
was,1619444658.4573758,1619444659.4663315
we,1619444660.5413997,1619444661.3999906
will,1619444662.4701815,1619444663.3782358
home,1619444664.4458413,1619444665.3543665
can,1619444666.4144046,1619444667.3209434
us,1619444668.3888621,1619444669.2471778
about,1619444670.316094,1619444671.2745347
if,1619444672.328137,1619444673.1363645
page,1619444674.2063947,1619444675.2152326
my,1619444676.279458,1619444677.1361275
has,1619444678.2039552,1619444679.2628071
search,1619444680.3316777,1619444681.3402576
free,1619444682.411126,1619444683.3687317
but,1619444684.4430916,1619444685.2497256
our,1619444686.321517,1619444687.077684
one,1619444688.14657,1619444689.0541368
other,1619444690.1070738,1619444690.9665346
do,1619444692.0198367,1619444692.926642
no,1619444693.97646,1619444694.8841052
information,1619444695.9538913,1619444697.2623382
time,1619444698.326461,1619444699.2843418
they,1619444700.3517756,1619444701.259395
hey_alexa,1619444702.3160129,1619444703.6245463
site,1619444711.6884265,1619444712.6487513
he,1619444713.6931102,1619444714.5003085
up,1619444715.5691767,1619444716.277907
may,1619444717.3448505,1619444718.2530582
what,1619444719.315256,1619444720.1725748
which,1619444721.2458506,1619444722.1528094
their,1619444723.2206454,1619444724.0792546
news,1619444725.1413388,1619444726.2004924
out,1619444727.2595108,1619444728.0684218
use,1619444729.1392055,1619444730.0993068
any,1619444731.1531577,1619444731.9612756
there,1619444733.0424595,1619444733.9511158
see,1619444735.0119908,1619444735.9697647
only,1619444737.0413136,1619444737.9991746
so,1619444739.0628915,1619444740.020066
his,1619444741.086169,1619444742.0441234
when,1619444743.1062787,1619444744.0138953
contact,1619444745.0877225,1619444746.195652
here,1619444747.2677197,1619444748.0752811
business,1619444749.1500897,1619444750.210646
who,1619444751.2815928,1619444752.1393192
web,1619444753.2124183,1619444754.069325
also,1619444755.1197138,1619444756.1771798
now,1619444757.2377095,1619444758.1445045
help,1619444759.214256,1619444760.022173
get,1619444761.0698788,1619444761.882415
pm,1619444762.9313657,1619444764.0890663
view,1619444765.1306503,1619444766.0377917
online,1619444767.1132026,1619444768.2217364
c,1619444769.2784278,1619444770.2349212
e,1619444771.2986257,1619444772.1049676
first,1619444773.144391,1619444774.151033
am,1619444775.2212327,1619444776.078997
been,1619444777.1497245,1619444778.0579712
would,1619444779.1247327,1619444779.9822814
how,1619444781.0452695,1619444781.9531856
were,1619444783.0206842,1619444783.9800076
me,1619444785.0210009,1619444785.8797498
s,1619444786.9348412,1619444787.7929513
services,1619444788.8583343,1619444790.1172318
some,1619444791.1796286,1619444792.1376226
these,1619444793.206722,1619444794.2651966
click,1619444795.3359118,1619444796.1939216
its,1619444797.2662532,1619444798.1228983
like,1619444799.191949,1619444800.0501835
service,1619444801.1257153,1619444802.2824059
x,1619444803.3494759,1619444804.2569866
than,1619444805.310267,1619444806.2179966
find,1619444807.2686923,1619444808.2260725
price,1619444809.2924204,1619444810.349594
ok_google,1619444811.4136667,1619444812.8225958
date,1619444813.875797,1619444814.7325163
back,1619444815.8049073,1619444816.6618347
top,1619444817.7273943,1619444818.5341597
people,1619444819.5847454,1619444820.491929
had,1619444821.5392902,1619444822.446501
list,1619444823.5163238,1619444824.4728525
name,1619444825.5395856,1619444826.4962897
just,1619444827.5671542,1619444828.574782
over,1619444829.641797,1619444830.5482073
state,1619444831.6207547,1619444832.629605
year,1619444833.6825538,1619444834.5416117
day,1619444835.609577,1619444836.516746
into,1619444837.5873826,1619444838.4437466
email,1619444839.5148718,1619444840.4736087
two,1619444841.5459216,1619444842.4037082
health,1619444843.4789138,1619444844.388139
n,1619444845.44285,1619444846.2509158
world,1619444847.296766,1619444848.2537975
re,1619444849.3077626,1619444850.1655648
next,1619444851.236134,1619444852.2430408
used,1619444853.3165905,1619444854.3232684
go,1619444855.3958933,1619444856.304184
b,1619444857.3721764,1619444858.2791417
work,1619444859.3447278,1619444860.2521765
last,1619444861.3218124,1619444862.3303316
most,1619444863.3938804,1619444864.4006553
products,1619444865.4482992,1619444866.556509
music,1619444867.630885,1619444868.587793
buy,1619444869.656335,1619444870.6125505
data,1619444871.6775446,1619444872.5835807
make,1619444873.6420958,1619444874.5517163
them,1619444875.6161664,1619444876.4739692
should,1619444877.5190177,1619444878.4269881
product,1619444879.468161,1619444880.475351
system,1619444881.5542262,1619444882.6130514
post,1619444883.6832604,1619444884.6410856
her,1619444885.7166343,1619444886.5728195
city,1619444887.6433809,1619444888.5995374
t,1619444889.6478198,1619444890.5041897
add,1619444891.559843,1619444892.366333
policy,1619444893.4340632,1619444894.5429723
number,1619444895.6084375,1619444896.5668995
such,1619444897.6301289,1619444898.6386566
please,1619444899.688465,1619444900.7465656
available,1619444901.8084872,1619444902.9179509
copyright,1619444903.9902346,1619444905.1488733
support,1619444906.2205029,1619444907.328403
message,1619444908.391908,1619444909.4494832
after,1619444910.5107312,1619444911.5183344
best,1619444912.5681295,1619444913.5262184
hey_alexa,1619444914.5805314,1619444915.8886127
software,1619444923.9454556,1619444925.1574707
then,1619444926.2129273,1619444927.0705636
jan,1619444928.1359966,1619444929.09278
good,1619444930.1615348,1619444931.019279
video,1619444932.0887313,1619444933.1453428
well,1619444934.2116477,1619444935.068729
d,1619444936.1313195,1619444937.0383258
where,1619444938.0837634,1619444938.9898262
info,1619444940.0590987,1619444941.1155953
rights,1619444942.185484,1619444943.1918967
public,1619444944.2554386,1619444945.21204
books,1619444946.2809489,1619444947.2899516
high,1619444948.3597298,1619444949.217544
school,1619444950.291614,1619444951.3496418
through,1619444952.416487,1619444953.3745992
m,1619444954.4223518,1619444955.2300227
each,1619444956.2965693,1619444957.1545613
links,1619444958.2293885,1619444959.1876807
she,1619444960.2605517,1619444961.1706011
review,1619444962.2270968,1619444963.2845654
years,1619444964.3464255,1619444965.4037204
order,1619444966.4656544,1619444967.422362
very,1619444968.4937222,1619444969.4542418
privacy,1619444970.524163,1619444971.6822133
book,1619444972.7497554,1619444973.6082978
items,1619444974.682522,1619444975.7400405
company,1619444976.8076587,1619444977.8146594
r,1619444978.867465,1619444979.6746075
read,1619444980.7426972,1619444981.6503067
group,1619444982.7128017,1619444983.6203554
need,1619444984.691528,1619444985.599228
many,1619444986.6654356,1619444987.5733314
user,1619444988.6271195,1619444989.6348417
said,1619444990.7073565,1619444991.665294
de,1619444992.7420018,1619444993.5497
does,1619444994.595298,1619444995.6544862
set,1619444996.7042992,1619444997.612843
under,1619444998.6869738,1619444999.5937858
general,1619445000.637949,1619445001.6446893
research,1619445002.7064135,1619445003.7630944
university,1619445004.8335953,1619445006.1940863
january,1619445007.2680593,1619445008.5784636
mail,1619445009.6293323,1619445010.536224
full,1619445011.6063793,1619445012.5136552
map,1619445013.5793273,1619445014.4362974
reviews,1619445015.504294,1619445016.662289
program,1619445017.7306268,1619445018.8394578
life,1619445019.8849452,1619445020.842392
know,1619445021.8996928,1619445022.8077643
games,1619445023.87728,1619445024.9861498
ok_google,1619445026.0524008,1619445027.4623659
way,1619445028.5198843,1619445029.427295
days,1619445030.498999,1619445031.5562768
management,1619445032.6313977,1619445033.7895093
p,1619445034.8401766,1619445035.697304
part,1619445036.765851,1619445037.6230166
could,1619445038.6827614,1619445039.5396175
great,1619445040.6083157,1619445041.5672922
united,1619445042.6334987,1619445043.6921024
hotel,1619445044.7622724,1619445045.870385
real,1619445046.9171472,1619445047.8241296
f,1619445048.8924646,1619445049.700202
item,1619445050.765232,1619445051.6211836
international,1619445052.7010796,1619445054.0584886
center,1619445055.1266677,1619445056.1856258
ebay,1619445057.258244,1619445058.2144673
must,1619445059.285335,1619445060.2939365
store,1619445061.348233,1619445062.3551352
travel,1619445063.4051158,1619445064.3635345
comments,1619445065.4293544,1619445066.486592
made,1619445067.5528984,1619445068.4612026
development,1619445069.5118175,1619445070.7696712
report,1619445071.8362322,1619445072.8936875
off,1619445073.9543302,1619445074.8114896
member,1619445075.8758457,1619445076.832796
details,1619445077.8985143,1619445079.1079028
line,1619445080.1773205,1619445081.0854735
terms,1619445082.1458087,1619445083.2553873
before,1619445084.328253,1619445085.3855438
hotels,1619445086.4520175,1619445087.7123768
did,1619445088.7875042,1619445089.643866
send,1619445090.7170231,1619445091.676096
right,1619445092.7489579,1619445093.605905
type,1619445094.6710832,1619445095.5285177
because,1619445096.5658753,1619445097.7225585
local,1619445098.7870116,1619445099.7459517
those,1619445100.8088171,1619445101.8660126
using,1619445102.9337828,1619445103.9414058
results,1619445104.9897277,1619445106.1492536
office,1619445107.2156067,1619445108.2221835
education,1619445109.2770348,1619445110.535267
national,1619445111.597559,1619445112.7041998
car,1619445113.7498488,1619445114.608307
design,1619445115.6788428,1619445116.7878702
take,1619445117.8584733,1619445118.7166603
posted,1619445119.7865307,1619445120.7939517
internet,1619445121.8487468,1619445122.8556721
address,1619445123.9272385,1619445125.0338342
community,1619445126.0979238,1619445127.25557
within,1619445128.3249571,1619445129.3817503
states,1619445130.4536412,1619445131.5621223
hey_alexa,1619445132.6298885,1619445133.9372678
area,1619445141.9884996,1619445142.9495928
want,1619445144.0169082,1619445144.9252188
phone,1619445145.9738474,1619445146.930621
dvd,1619445148.0012798,1619445149.5621257
shipping,1619445150.636968,1619445151.5940843
reserved,1619445152.6665845,1619445153.825602
subject,1619445154.8997896,1619445156.0072856
between,1619445157.0853932,1619445158.243188
forum,1619445159.2920423,1619445160.3009183
family,1619445161.3675945,1619445162.4245358
l,1619445163.4994833,1619445164.306792
long,1619445165.3608632,1619445166.319568
based,1619445167.3846183,1619445168.3915036
w,1619445169.462211,1619445170.5699637
code,1619445171.6351423,1619445172.4936094
show,1619445173.5555894,1619445174.5137043
o,1619445175.5780296,1619445176.3848736
even,1619445177.4390924,1619445178.296071
black,1619445179.359126,1619445180.3185997
check,1619445181.3926919,1619445182.3020928
